ID_C20        ID_spec        Survey           RA_spec                RA_C20                 Dec_spec               Dec_C20                K_C20                  K_diff                      i_C20                  i_diff                      z_spec                 z_C20                    Spec_QF                 Match_Flag              M_med                  M_16                   M_84                   SFR_med                    SFR_16                   SFR_84                    Age_med          Age_16           Age_84           NUV_abs                 u_abs                   r_abs                   V_abs                   J_abs                   chi-sqr_Lehare             Model_idx_Lephare     E(B-V)_Lephare          Overdensity_VMC             n_sigma                    sigma_5.0     sigma_4.5     sigma_4.0     sigma_3.5     sigma_3.0     sigma_2.5     sigma_2.0    
159622.0      L183054        DEIMOS10k        150.649658203125       150.649658203125       1.5594309568405151     1.5593719482421875     nan                    -99.0                       24.717899322509766     -0.0820780023932457         2.759999990463257      1.3037999868392944       3.0                     SINGLEMATCH             11.347900390625        11.313699722290039     11.383700370788574     -0.4005810022354126        -0.46898001432418823     -0.33218398690223694      891846976.0      824315008.0      964473024.0      -21.618000030517578     -24.285999298095703     -24.694000244140625     -24.55900001525879      -24.86199951171875      131.4669952392578          1.0                   0.0                     nan                         nan                        -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
202624.0      L213360        DEIMOS10k        150.15122985839844     150.15122985839844     1.6039129495620728     1.6039509773254395     21.54199981689453      -0.058042000979185104       24.913299560546875     0.11326999962329865         2.7950000762939453     2.2021000385284424       2.0                     SINGLEMATCH             11.343099594116211     11.307600021362305     11.382399559020996     1.8152799606323242         1.7166600227355957       2.5452001094818115        904254976.0      817040000.0      1024750016.0     -21.165000915527344     -22.64299964904785      -24.030000686645508     -23.7810001373291       -25.165000915527344     95.97209930419922          2.0                   0.30000001192092896     -0.6849030577046518         -6.090880024147919         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
204697.0      L214452        DEIMOS10k        150.4513702392578      150.45135498046875     1.6052850484848022     1.6052470207214355     21.536800384521484     -0.1332399994134903         23.868600845336914     0.26857998967170715         2.4749999046325684     2.5525999069213867       2.0                     SINGLEMATCH             11.080300331115723     11.02400016784668      11.13599967956543      2.0485401153564453         1.9621599912643433       2.134079933166504         1649890048.0     1363939968.0     2078610048.0     -20.97599983215332      -22.527999877929688     -23.658000946044922     -23.433000564575195     -24.659000396728516     41.15810012817383          13.0                  0.30000001192092896     -0.9956803692855913         -11.241111861090697        -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
217942.0      L223740        DEIMOS10k        150.6006622314453      150.60064697265625     1.620316982269287      1.620285987854004      22.899799346923828     0.3098199963569641          24.384300231933594     0.08427499979734421         2.6500000953674316     2.6221001148223877       9.0                     SINGLEMATCH             10.423700332641602     10.336099624633789     10.489299774169922     1.6094900369644165         1.5340299606323242       1.6858099699020386        907278016.0      552707968.0      1303379968.0     -21.51799964904785      -21.909000396728516     -22.452999114990234     -22.320999145507812     -22.98900032043457      42.41189956665039          6.0                   0.20000000298023224     -2.7042640362056187         -26.771730807952366        -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
218969.0      L223966        DEIMOS10k        150.1369171142578      150.13687133789062     1.6202919483184814     1.620331048965454      21.973899841308594     -0.006096300203353167       23.338199615478516     0.03815999999642372         2.003000020980835      2.236299991607666        13.0                    SINGLEMATCH             10.061699867248535     10.016400337219238     10.113300323486328     2.174329996109009          2.106329917907715        2.2569499015808105        110697000.0      95471504.0       191971008.0      -21.493999481201172     -22.18199920654297      -22.643999099731445     -22.40999984741211      -23.281999588012695     45.79010009765625          9.0                   0.30000001192092896     -1.1939893779879935         -12.918293150346285        -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
228425.0      L230442        DEIMOS10k        150.23956298828125     150.2395477294922      1.6306860446929932     1.6306840181350708     22.041500091552734     -0.13854999840259552        24.69230079650879      0.3922800123691559          2.265000104904175      2.16510009765625         9.0                     SINGLEMATCH             10.645500183105469     10.598699569702148     10.69379997253418      1.6934499740600586         1.622130036354065        1.7658699750900269        1379910016.0     1094649984.0     1805449984.0     -20.441999435424805     -21.635000228881836     -22.899999618530273     -22.656999588012695     -23.336999893188477     15.225500106811523         5.0                   0.30000001192092896     nan                         nan                        -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
292010.0      L271248        DEIMOS10k        150.35647583007812     150.35646057128906     1.6968220472335815     1.6967730522155762     22.213699340820312     0.023654000833630562        23.722000122070312     -0.17803999781608582        2.759500026702881      2.5232999324798584       2.0                     SINGLEMATCH             10.583900451660156     10.525099754333496     10.643099784851074     2.2026898860931396         2.1293399333953857       2.2723801136016846        513912000.0      308028992.0      658273984.0      -21.902000427246094     -22.343000411987305     -23.246000289916992     -23.108999252319336     -24.051000595092773     82.25689697265625          11.0                  0.30000001192092896     0.22972292687940513         2.242290221260829          -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
311332.0      L283462        DEIMOS10k        150.11497497558594     150.1149444580078      1.7168840169906616     1.7168689966201782     23.127599716186523     -0.02243099920451641        25.49650001525879      0.5964599847793579          2.869999885559082      2.926100015640259        3.0                     SINGLEMATCH             10.640199661254883     10.56149959564209      10.699299812316895     1.5924999713897705         1.5183900594711304       1.677590012550354         1585049984.0     962771008.0      1913229952.0     -19.860000610351562     -21.268999099731445     -22.5049991607666       -22.291000366210938     -23.347999572753906     11.496100425720215         3.0                   0.30000001192092896     0.13063748012266127         1.3080390312110415         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
313670.0      400202         zCOSMOS          150.43234252929688     150.43231201171875     1.7188769578933716     1.718865990638733      22.909799575805664     -99.0                       23.984800338745117     -1.513200044631958          2.254499912261963      2.487499952316284        2.5                     SINGLEMATCH             9.562760353088379      9.488369941711426      9.608839988708496      1.7043299674987793         1.6334199905395508       1.773419976234436         152427008.0      103600000.0      174391008.0      -21.069000244140625     -21.597999572753906     -22.06800079345703      -21.87700080871582      -21.599000930786133     82.47789764404297          11.0                  0.20000000298023224     0.021492421182598864        0.34934860100757265        -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
316604.0      416331         zCOSMOS          150.01406860351562     150.0140380859375      1.722430944442749      1.7224479913711548     24.001300811767578     4.510300159454346           24.173999786376953     2.471100091934204           2.6115000247955322     1.187000036239624        0.10000000149011612     SINGLEMATCH             9.611949920654297      9.542499542236328      9.67212963104248       0.9545909762382507         0.8704710006713867       1.0413800477981567        947964032.0      621160000.0      1232099968.0     -21.334999084472656     -21.67799949645996      -21.26300048828125      -21.26799964904785      -21.700000762939453     218.61900329589844         11.0                  0.0                     -0.014381704625649635       -0.030202386723973837      -99.0         -99.0         -99.0         -99.0         -99.0         -99.0         -99.0        
