#   X     Y     Z      S       D
   129   447   279  3.4359  1.0290
   128   447   279  3.4272  1.0252
   129   448   279  3.4217  1.0228
   128   448   279  3.4174  1.0210
   130   447   279  3.4063  1.0162
   129   446   279  3.3931  1.0106
   130   448   279  3.3896  1.0091
   128   446   279  3.3813  1.0055
   130   446   279  3.3655  0.9988
   129   448   280  3.2170  0.9389
   130   448   280  3.2103  0.9362
   128   448   280  3.2013  0.9325
   128   448   278  3.1843  0.9209
   129   448   278  3.1795  0.9190
   129   447   278  3.1613  0.9116
   128   447   278  3.1581  0.9103
   130   448   278  3.1504  0.9071
   130   447   278  3.1392  0.9026
   129   447   280  3.1277  0.9024
   130   447   280  3.1243  0.9010
   129   446   278  3.1231  0.8961
   128   446   278  3.1108  0.8912
   128   447   280  3.1108  0.8955
   130   446   278  3.1090  0.8904
   129   446   280  3.0038  0.8527
   130   446   280  3.0036  0.8527
   127   447   279  3.3816  1.0057
   127   448   279  3.3777  1.0040
   128   449   279  3.3556  0.9946
   129   449   279  3.3548  0.9942
   131   447   279  3.3383  0.9873
   127   446   279  3.3324  0.9848
   127   449   279  3.3235  0.9810
   131   448   279  3.3216  0.9802
   130   449   279  3.3204  0.9797
   131   446   279  3.2982  0.9704
   129   445   279  3.2949  0.9690
   128   445   279  3.2820  0.9636
   129   449   280  3.2691  0.9606
   130   445   279  3.2684  0.9579
   130   449   280  3.2590  0.9564
   128   449   280  3.2553  0.9548
   131   449   279  3.2535  0.9517
   127   445   279  3.2329  0.9432
   131   449   280  3.2261  0.9427
   127   449   280  3.2175  0.9391
   131   445   279  3.2020  0.9304
   128   449   278  3.1919  0.9240
   131   448   280  3.1821  0.9246
   127   449   278  3.1813  0.9197
   129   449   278  3.1807  0.9195
   127   448   278  3.1665  0.9137
   127   448   280  3.1628  0.9166
   130   449   278  3.1463  0.9055
   127   447   278  3.1315  0.8995
   131   447   280  3.1015  0.8917
   128   449   281  3.0995  0.8931
   127   449   281  3.0992  0.8930
   131   448   278  3.0970  0.8856
   131   447   278  3.0914  0.8834
   131   449   278  3.0890  0.8824
   129   449   281  3.0890  0.8889
   128   448   281  3.0775  0.8843
   127   446   278  3.0744  0.8766
   127   448   281  3.0728  0.8824
   127   447   280  3.0727  0.8802
   129   448   281  3.0722  0.8821
   131   446   278  3.0682  0.8741
   130   449   281  3.0672  0.8801
   129   445   278  3.0600  0.8709
   130   448   281  3.0564  0.8758
   130   445   278  3.0546  0.8687
