#   X     Y     Z      S       D
   298   167   282  4.5359  1.5777
   298   168   282  4.5240  1.5712
   299   167   282  4.5014  1.5588
   298   166   282  4.4966  1.5561
   299   168   282  4.4772  1.5455
   297   167   282  4.4755  1.5446
   299   166   282  4.4721  1.5428
   297   168   282  4.4716  1.5425
   297   166   282  4.4319  1.5210
   298   168   283  4.1568  1.3806
   298   167   283  4.1357  1.3699
   299   168   283  4.1285  1.3662
   299   167   283  4.1221  1.3630
   297   168   283  4.0755  1.3395
   298   166   283  4.0696  1.3365
   299   166   283  4.0684  1.3359
   297   167   283  4.0457  1.3246
   297   166   283  3.9741  1.2891
   298   168   281  3.9433  1.2672
   298   167   281  3.9369  1.2641
   299   167   281  3.9331  1.2622
   299   168   281  3.9316  1.2615
   298   166   281  3.8790  1.2363
   299   166   281  3.8787  1.2361
   297   168   281  3.8624  1.2283
   297   167   281  3.8524  1.2235
   297   166   281  3.7965  1.1972
   298   169   282  4.4585  1.5354
   297   169   282  4.4172  1.5131
   298   165   282  4.4087  1.5085
   299   169   282  4.3976  1.5025
   299   165   282  4.3914  1.4992
   300   167   282  4.3777  1.4919
   300   166   282  4.3640  1.4846
   297   165   282  4.3428  1.4733
   300   168   282  4.3368  1.4702
   296   168   282  4.3251  1.4640
   296   167   282  4.3247  1.4638
   300   165   282  4.2970  1.4492
   296   166   282  4.2810  1.4408
   296   169   282  4.2794  1.4400
   300   169   282  4.2411  1.4201
   296   165   282  4.1955  1.3966
   298   169   283  4.1301  1.3670
   299   169   283  4.0859  1.3447
   297   169   283  4.0606  1.3320
   298   167   280  4.0512  1.3165
   298   168   280  4.0503  1.3160
   298   167   284  4.0491  1.3300
   298   168   284  4.0452  1.3280
   299   167   284  4.0332  1.3220
   299   167   280  4.0259  1.3040
   299   168   280  4.0182  1.3002
   300   167   283  4.0146  1.3091
   299   166   284  4.0105  1.3107
   298   169   280  4.0099  1.2962
   299   168   284  4.0087  1.3098
   298   166   280  4.0083  1.2954
   298   166   284  4.0075  1.3093
   300   168   283  4.0016  1.3027
   297   168   280  3.9977  1.2902
   298   169   284  3.9968  1.3039
   297   167   280  3.9945  1.2886
   299   166   280  3.9845  1.2837
   297   168   284  3.9834  1.2973
   300   166   283  3.9795  1.2918
   297   167   284  3.9713  1.2913
   299   165   283  3.9699  1.2871
   297   169   280  3.9679  1.2757
   299   169   280  3.9657  1.2746
   298   165   283  3.9612  1.2828
   297   166   280  3.9543  1.2691
   297   169   284  3.9533  1.2825
   300   169   283  3.9407  1.2728
   299   165   284  3.9403  1.2761
   299   169   284  3.9394  1.2757
   300   166   284  3.9336  1.2728
   300   167   284  3.9323  1.2722
   298   165   284  3.9216  1.2670
   300   167   280  3.9214  1.2532
   298   165   280  3.9193  1.2522
