#   X     Y     Z      S       D
   304   225   200  3.4436  0.9249
   304   226   200  3.4409  0.9239
   305   225   200  3.4372  0.9225
   305   226   200  3.4265  0.9185
   303   226   200  3.4232  0.9173
   303   225   200  3.4171  0.9150
   305   224   200  3.4061  0.9109
   304   224   200  3.4036  0.9099
   303   224   200  3.3685  0.8968
   304   224   199  3.2556  0.8552
   305   224   199  3.2529  0.8543
   304   225   199  3.2477  0.8524
   305   225   199  3.2463  0.8519
   305   226   201  3.2398  0.8498
   304   226   201  3.2333  0.8474
   303   224   199  3.2302  0.8460
   303   225   199  3.2228  0.8434
   304   226   199  3.2076  0.8379
   305   226   199  3.2065  0.8375
   303   226   201  3.2051  0.8372
   305   225   201  3.2042  0.8369
   304   225   201  3.1920  0.8325
   303   226   199  3.1850  0.8298
   303   225   201  3.1582  0.8204
   305   224   201  3.1486  0.8170
   304   224   201  3.1296  0.8103
   303   224   201  3.0892  0.7960
   306   225   200  3.3998  0.9085
   304   227   200  3.3900  0.9048
   306   226   200  3.3831  0.9023
   303   227   200  3.3805  0.9013
   306   224   200  3.3762  0.8997
   302   226   200  3.3703  0.8975
   305   227   200  3.3690  0.8970
   302   225   200  3.3566  0.8924
   305   223   200  3.3412  0.8867
   302   227   200  3.3363  0.8849
   304   223   200  3.3299  0.8826
   306   227   200  3.3222  0.8797
   306   223   200  3.3196  0.8788
   302   224   200  3.3019  0.8723
   303   223   200  3.2871  0.8668
   305   226   202  3.2869  0.8671
   305   225   202  3.2804  0.8647
   304   226   202  3.2792  0.8643
   306   226   202  3.2732  0.8621
   306   225   202  3.2701  0.8609
   304   225   202  3.2674  0.8600
   305   227   202  3.2663  0.8595
   304   227   202  3.2641  0.8587
   305   227   201  3.2517  0.8541
   304   227   201  3.2495  0.8533
   305   224   202  3.2494  0.8534
   306   227   202  3.2493  0.8534
   303   226   202  3.2488  0.8532
   306   224   202  3.2427  0.8510
   303   227   202  3.2413  0.8505
   304   223   199  3.2363  0.8483
   305   223   199  3.2316  0.8465
   304   224   202  3.2314  0.8469
   303   225   202  3.2301  0.8464
   306   227   201  3.2275  0.8453
   303   227   201  3.2257  0.8446
   306   224   199  3.2242  0.8439
   306   225   199  3.2204  0.8425
   306   226   201  3.2193  0.8423
   302   223   200  3.2159  0.8410
   303   223   199  3.2123  0.8396
   306   223   199  3.2001  0.8352
   305   223   202  3.1978  0.8348
   302   227   202  3.1963  0.8342
   306   223   202  3.1951  0.8338
   302   226   202  3.1947  0.8336
   306   225   201  3.1886  0.8313
   303   224   202  3.1879  0.8312
   302   227   201  3.1847  0.8299
   306   226   199  3.1837  0.8293
   302   224   199  3.1756  0.8264
   304   223   202  3.1750  0.8266
   302   225   199  3.1699  0.8244
   302   225   202  3.1677  0.8240
   302   226   201  3.1606  0.8213
   302   223   199  3.1586  0.8204
   306   224   201  3.1391  0.8136
   302   226   199  3.1364  0.8125
   304   227   199  3.1323  0.8110
   305   227   199  3.1311  0.8105
   303   223   202  3.1262  0.8092
   302   224   202  3.1188  0.8066
   303   227   199  3.1133  0.8043
   306   227   199  3.1118  0.8037
   302   225   201  3.1092  0.8030
   305   223   201  3.0772  0.7918
   306   223   201  3.0750  0.7910
   302   227   199  3.0713  0.7895
   302   223   202  3.0523  0.7832
   304   223   201  3.0506  0.7825
   302   224   201  3.0349  0.7770
   303   223   201  3.0030  0.7659
   307   225   200  3.3333  0.8838
   307   224   200  3.3150  0.8771
   307   226   200  3.3135  0.8765
   304   228   200  3.2904  0.8680
   303   228   200  3.2883  0.8673
   301   226   200  3.2810  0.8646
   305   228   200  3.2652  0.8589
   307   223   200  3.2651  0.8588
   301   225   200  3.2630  0.8580
   301   227   200  3.2546  0.8550
   302   228   200  3.2535  0.8546
   307   227   200  3.2525  0.8542
   305   222   200  3.2521  0.8541
   307   226   202  3.2389  0.8496
   306   222   200  3.2387  0.8492
   307   225   202  3.2374  0.8490
   304   228   201  3.2373  0.8489
   305   228   201  3.2364  0.8485
   304   222   200  3.2326  0.8470
   304   228   202  3.2207  0.8430
   306   228   200  3.2177  0.8416
   305   228   202  3.2171  0.8417
   303   228   201  3.2168  0.8415
   307   227   202  3.2136  0.8405
   307   224   202  3.2122  0.8399
   306   228   201  3.2098  0.8389
   301   224   200  3.2066  0.8377
   303   228   202  3.2057  0.8376
   306   228   202  3.1965  0.8343
   304   222   199  3.1956  0.8336
   307   222   200  3.1918  0.8323
   305   222   199  3.1882  0.8309
   303   222   200  3.1832  0.8292
   301   228   200  3.1821  0.8288
   302   228   201  3.1786  0.8277
   303   222   199  3.1742  0.8259
   307   227   201  3.1726  0.8256
   307   225   199  3.1724  0.8252
   307   224   199  3.1718  0.8251
   302   228   202  3.1704  0.8249
   307   223   202  3.1674  0.8239
   307   226   201  3.1670  0.8236
   307   228   202  3.1592  0.8210
   306   222   199  3.1542  0.8188
   307   228   201  3.1536  0.8188
   307   228   200  3.1511  0.8178
   307   223   199  3.1444  0.8153
   307   226   199  3.1411  0.8141
   307   225   201  3.1403  0.8141
   306   222   202  3.1311  0.8109
   301   227   201  3.1299  0.8104
   305   222   202  3.1297  0.8104
   301   227   202  3.1284  0.8100
   301   228   201  3.1252  0.8087
   302   222   199  3.1234  0.8078
