#   X     Y     Z      S       D
   329   288   218  4.3290  1.3003
   329   289   218  4.3224  1.2974
   330   288   218  4.3171  1.2949
   330   287   218  4.3128  1.2930
   329   287   218  4.3104  1.2919
   330   289   218  4.2962  1.2855
   328   289   218  4.2865  1.2812
   328   288   218  4.2815  1.2789
   328   287   218  4.2520  1.2657
   330   288   217  3.9537  1.1355
   330   287   217  3.9533  1.1354
   329   288   217  3.9400  1.1298
   330   289   217  3.9352  1.1278
   329   289   217  3.9327  1.1268
   329   287   217  3.9274  1.1245
   328   288   217  3.8738  1.1022
   328   289   217  3.8723  1.1016
   328   287   217  3.8549  1.0944
   330   287   219  3.3599  0.9011
   329   287   219  3.3246  0.8880
   330   288   219  3.3002  0.8789
   329   288   219  3.2757  0.8699
   328   287   219  3.2714  0.8683
   330   289   219  3.2339  0.8545
   328   288   219  3.2321  0.8538
   329   289   219  3.2187  0.8490
   328   289   219  3.1830  0.8360
   329   290   218  4.2869  1.2814
   330   286   218  4.2839  1.2800
   329   286   218  4.2678  1.2728
   328   290   218  4.2624  1.2704
   331   287   218  4.2532  1.2662
   330   290   218  4.2475  1.2637
   331   286   218  4.2421  1.2613
   331   288   218  4.2396  1.2602
   331   289   218  4.2020  1.2435
   328   286   218  4.2000  1.2426
   327   289   218  4.1963  1.2410
   327   288   218  4.1824  1.2349
   327   290   218  4.1814  1.2344
   327   287   218  4.1453  1.2186
   331   290   218  4.1387  1.2157
   327   286   218  4.0878  1.1936
   330   286   217  3.9362  1.1282
   331   286   217  3.9299  1.1256
   331   287   217  3.9289  1.1252
   331   288   217  3.9115  1.1179
   329   290   217  3.9009  1.1135
   329   286   217  3.8977  1.1121
   330   290   217  3.8933  1.1103
   331   289   217  3.8764  1.1033
   328   290   217  3.8457  1.0906
   331   290   217  3.8200  1.0801
   328   286   217  3.8184  1.0794
   327   288   217  3.7593  1.0554
   327   289   217  3.7585  1.0550
   327   287   217  3.7394  1.0473
   327   290   217  3.7323  1.0444
   327   286   217  3.7016  1.0321
   331   286   219  3.4342  0.9292
   330   286   219  3.4087  0.9195
   331   287   219  3.3733  0.9062
   329   286   219  3.3619  0.9019
   331   288   219  3.3021  0.8796
   328   286   219  3.2985  0.8783
   331   289   219  3.2257  0.8515
   327   286   219  3.2223  0.8503
   327   287   219  3.2040  0.8436
   331   286   220  3.1987  0.8423
   331   287   220  3.1765  0.8343
   327   288   219  3.1726  0.8322
   330   290   219  3.1605  0.8279
   330   286   220  3.1567  0.8271
   329   290   219  3.1522  0.8249
   330   287   220  3.1473  0.8237
   331   290   219  3.1448  0.8222
   331   288   220  3.1430  0.8222
   327   289   219  3.1301  0.8169
   330   288   220  3.1283  0.8169
   328   290   219  3.1224  0.8142
   330   289   220  3.1022  0.8076
   331   289   220  3.1018  0.8074
   329   287   220  3.0818  0.8003
   329   286   220  3.0809  0.8000
   329   288   220  3.0753  0.7980
   327   290   219  3.0741  0.7970
   330   290   220  3.0686  0.7956
   329   289   220  3.0624  0.7934
   331   290   220  3.0539  0.7904
   329   290   220  3.0412  0.7860
   330   285   218  4.2272  1.2547
   329   291   218  4.2177  1.2505
   328   291   218  4.2034  1.2441
   331   285   218  4.2025  1.2437
   329   285   218  4.1991  1.2422
   330   291   218  4.1671  1.2281
   332   286   218  4.1400  1.2163
   327   291   218  4.1309  1.2123
   332   287   218  4.1293  1.2116
   328   285   218  4.1241  1.2093
   332   285   218  4.1223  1.2086
   332   288   218  4.0950  1.1967
   326   289   218  4.0594  1.1813
   326   290   218  4.0512  1.1778
   331   291   218  4.0471  1.1761
   326   288   218  4.0395  1.1728
   332   289   218  4.0390  1.1726
   327   285   218  4.0089  1.1597
   326   291   218  4.0074  1.1591
   326   287   218  3.9981  1.1551
   332   290   218  3.9610  1.1395
   326   286   218  3.9385  1.1300
   330   286   221  3.9195  1.1247
   331   285   217  3.9124  1.1183
   330   287   221  3.9095  1.1206
   331   286   221  3.9082  1.1200
   330   285   217  3.9011  1.1135
   330   285   221  3.9007  1.1169
   331   285   221  3.8976  1.1156
   329   286   221  3.8882  1.1117
   331   287   221  3.8879  1.1115
   329   287   221  3.8877  1.1114
   330   288   221  3.8813  1.1088
   332   285   217  3.8812  1.1053
   332   286   217  3.8765  1.1033
   329   288   221  3.8706  1.1043
   329   285   221  3.8627  1.1011
   326   285   218  3.8607  1.0976
   332   291   218  3.8595  1.0971
   332   286   221  3.8535  1.0972
   332   287   217  3.8525  1.0934
   332   285   221  3.8521  1.0967
   329   285   217  3.8504  1.0925
   331   288   221  3.8476  1.0948
   329   289   221  3.8417  1.0924
   330   289   221  3.8406  1.0919
   329   291   217  3.8386  1.0877
   328   287   221  3.8250  1.0855
   332   287   221  3.8224  1.0844
   330   291   217  3.8224  1.0810
   328   288   221  3.8175  1.0824
   328   286   221  3.8175  1.0824
   332   288   217  3.8125  1.0770
   329   290   221  3.8006  1.0755
   328   289   221  3.7985  1.0746
   331   289   221  3.7944  1.0729
   330   290   221  3.7884  1.0705
   328   291   217  3.7879  1.0670
   328   285   221  3.7866  1.0697
   332   288   221  3.7704  1.0631
   328   290   221  3.7664  1.0615
   328   285   217  3.7642  1.0573
   332   289   217  3.7567  1.0543
   329   291   221  3.7430  1.0520
   331   291   217  3.7371  1.0464
   331   290   221  3.7304  1.0469
   330   291   221  3.7214  1.0433
   328   291   221  3.7160  1.0411
   332   289   221  3.7052  1.0367
   332   290   217  3.6826  1.0245
   327   291   217  3.6753  1.0216
   331   291   221  3.6535  1.0161
   327   285   217  3.6457  1.0099
   332   290   221  3.6302  1.0068
   326   288   217  3.6007  0.9921
   326   289   217  3.5962  0.9904
   332   291   217  3.5861  0.9864
   326   287   217  3.5844  0.9858
   326   290   217  3.5668  0.9789
   326   286   217  3.5500  0.9724
   332   291   221  3.5445  0.9731
   326   291   217  3.5078  0.9560
   326   285   217  3.4973  0.9520
   332   285   219  3.4879  0.9497
   331   285   219  3.4749  0.9447
   330   285   219  3.4374  0.9304
   332   286   219  3.4353  0.9296
   329   285   219  3.3794  0.9085
   332   287   219  3.3622  0.9020
   328   285   219  3.3058  0.8810
   332   288   219  3.2792  0.8711
   327   285   219  3.2211  0.8498
   332   285   220  3.2170  0.8490
   331   285   220  3.2027  0.8438
   332   286   220  3.2003  0.8429
   332   289   219  3.1927  0.8395
   332   287   220  3.1635  0.8296
   330   285   220  3.1507  0.8249
   326   286   219  3.1363  0.8192
   326   285   219  3.1288  0.8165
   326   287   219  3.1249  0.8151
   332   288   220  3.1142  0.8119
   332   290   219  3.1045  0.8078
   326   288   219  3.0997  0.8061
   330   291   219  3.0765  0.7978
   329   291   219  3.0721  0.7963
   329   285   220  3.0676  0.7953
   326   289   219  3.0621  0.7927
   332   289   220  3.0574  0.7917
   331   291   219  3.0567  0.7908
   328   291   219  3.0458  0.7870
   330   291   220  3.0252  0.7803
   332   291   219  3.0129  0.7754
   326   290   219  3.0094  0.7742
   329   291   220  3.0083  0.7744
   327   291   219  3.0002  0.7710
   330   284   218  4.1370  1.2149
   331   284   218  4.1280  1.2110
   329   292   218  4.1111  1.2037
   328   292   218  4.1047  1.2009
   329   284   218  4.0990  1.1984
   332   284   218  4.0692  1.1856
   330   292   218  4.0525  1.1784
   327   292   218  4.0390  1.1726
   328   284   218  4.0193  1.1642
   333   285   218  3.9897  1.1516
   333   286   218  3.9818  1.1483
   333   284   218  3.9623  1.1400
   333   287   218  3.9467  1.1334
   331   292   218  3.9256  1.1246
   326   292   218  3.9210  1.1227
   327   284   218  3.9045  1.1158
