#   X     Y     Z      S       D
   394   215   145  3.2449  0.8771
   394   216   145  3.2420  0.8760
   393   215   145  3.2382  0.8746
   395   216   145  3.2370  0.8742
   393   214   145  3.2370  0.8742
   394   214   145  3.2355  0.8736
   395   215   145  3.2282  0.8708
   393   216   145  3.2242  0.8693
   395   214   145  3.2103  0.8641
   395   216   146  3.0839  0.8167
   394   216   146  3.0556  0.8064
   395   215   146  3.0440  0.8022
   394   215   146  3.0196  0.7934
   395   217   145  3.2365  0.8740
   394   217   145  3.2264  0.8702
   392   214   145  3.2207  0.8680
   393   213   145  3.2201  0.8678
   396   217   145  3.2185  0.8672
   392   215   145  3.2134  0.8653
   394   213   145  3.2127  0.8650
   392   213   145  3.2104  0.8642
   396   216   145  3.2032  0.8615
   393   217   145  3.1945  0.8583
   392   216   145  3.1887  0.8561
   396   215   145  3.1818  0.8535
   395   213   145  3.1815  0.8534
   396   214   145  3.1546  0.8435
   392   217   145  3.1458  0.8402
   396   213   145  3.1195  0.8305
   395   217   146  3.1175  0.8289
   396   217   146  3.1175  0.8289
   394   217   146  3.0819  0.8160
   396   216   146  3.0772  0.8142
   396   217   147  3.0397  0.7998
   396   215   146  3.0343  0.7987
   395   217   147  3.0260  0.7949
   393   217   146  3.0165  0.7923
   396   216   147  3.0122  0.7900
   395   216   147  3.0067  0.7880
   396   218   145  3.2250  0.8697
   395   218   145  3.2246  0.8695
   394   218   145  3.1966  0.8591
   397   218   145  3.1921  0.8573
   391   214   145  3.1907  0.8568
   391   213   145  3.1884  0.8560
   393   212   145  3.1853  0.8548
   392   212   145  3.1810  0.8532
   391   215   145  3.1741  0.8507
   394   212   145  3.1735  0.8505
   397   217   145  3.1672  0.8481
   391   212   145  3.1662  0.8478
   396   218   146  3.1529  0.8419
   393   218   145  3.1480  0.8410
   395   218   146  3.1427  0.8382
   391   216   145  3.1385  0.8375
   395   212   145  3.1384  0.8375
   397   216   145  3.1357  0.8365
   397   218   146  3.1235  0.8311
   397   215   145  3.1011  0.8238
   394   218   146  3.0963  0.8212
   392   218   145  3.0839  0.8175
   391   217   145  3.0832  0.8173
   397   217   146  3.0785  0.8147
   396   212   145  3.0724  0.8133
   397   218   147  3.0657  0.8092
   397   214   145  3.0640  0.8103
   396   218   147  3.0634  0.8084
   395   218   147  3.0391  0.7996
   397   217   147  3.0332  0.7975
   397   216   146  3.0322  0.7979
   397   213   145  3.0220  0.7951
   393   218   146  3.0198  0.7935
   391   218   145  3.0078  0.7900
   396   219   145  3.2187  0.8673
   397   219   145  3.2052  0.8622
   395   219   145  3.1983  0.8597
   396   219   146  3.1771  0.8509
   397   219   146  3.1598  0.8445
   390   213   145  3.1568  0.8443
   395   219   146  3.1538  0.8423
   398   219   145  3.1535  0.8430
   394   219   145  3.1508  0.8420
   390   214   145  3.1491  0.8414
   390   212   145  3.1442  0.8396
   392   211   145  3.1305  0.8346
   393   211   145  3.1298  0.8343
   391   211   145  3.1227  0.8317
   398   218   145  3.1225  0.8316
   390   215   145  3.1219  0.8314
   394   211   145  3.1144  0.8287
   390   211   145  3.1098  0.8270
   398   219   146  3.1018  0.8232
