#   X     Y     Z      S       D
   362    47   304  2.4128  0.6715
   363    47   304  2.4126  0.6715
   363    46   304  2.4123  0.6714
   362    46   304  2.4113  0.6710
   361    47   304  2.3954  0.6650
   361    46   304  2.3907  0.6633
   362    48   304  2.3894  0.6628
   363    48   304  2.3881  0.6623
   361    48   304  2.3752  0.6575
   362    46   305  2.3474  0.6489
   363    46   305  2.3440  0.6477
   361    46   305  2.3209  0.6391
   362    47   305  2.3039  0.6329
   363    47   305  2.2985  0.6309
   361    47   305  2.2796  0.6240
   362    48   305  2.2338  0.6074
   363    48   305  2.2278  0.6052
   361    48   305  2.2107  0.5991
   364    47   304  2.3968  0.6656
   364    46   304  2.3961  0.6653
   363    45   304  2.3886  0.6625
   362    45   304  2.3862  0.6616
   364    48   304  2.3728  0.6566
   364    45   304  2.3722  0.6564
   362    45   305  2.3636  0.6549
   361    45   304  2.3628  0.6529
   363    45   305  2.3627  0.6546
   360    47   304  2.3577  0.6510
   360    46   304  2.3478  0.6474
   360    48   304  2.3429  0.6456
   362    49   304  2.3417  0.6452
   363    49   304  2.3394  0.6443
   361    45   305  2.3349  0.6443
   364    45   305  2.3312  0.6429
   361    49   304  2.3304  0.6410
   364    49   304  2.3242  0.6387
   360    45   304  2.3155  0.6355
   364    46   305  2.3101  0.6352
   360    49   304  2.3033  0.6311
   360    45   305  2.2793  0.6239
   360    46   305  2.2669  0.6194
   364    47   305  2.2628  0.6179
   360    47   305  2.2276  0.6052
   364    48   305  2.1920  0.5924
   360    48   305  2.1600  0.5810
   362    49   305  2.1394  0.5737
   363    49   305  2.1347  0.5721
   361    49   305  2.1155  0.5653
   364    49   305  2.1009  0.5602
   360    45   306  2.0683  0.5502
   360    49   305  2.0648  0.5476
   360    46   306  2.0345  0.5385
   361    45   306  2.0212  0.5339
   365    47   304  2.3657  0.6540
   365    46   304  2.3636  0.6532
   363    44   305  2.3540  0.6513
   362    44   305  2.3530  0.6510
   363    44   304  2.3441  0.6460
   365    48   304  2.3431  0.6457
   362    44   304  2.3407  0.6448
   365    45   304  2.3388  0.6441
   364    44   304  2.3280  0.6401
   364    44   305  2.3250  0.6407
   361    44   305  2.3232  0.6400
   361    44   304  2.3150  0.6353
   359    47   304  2.2975  0.6289
   365    49   304  2.2957  0.6283
   365    44   304  2.2943  0.6278
   359    48   304  2.2903  0.6263
   359    46   304  2.2808  0.6229
   362    50   304  2.2719  0.6196
   365    45   305  2.2694  0.6203
   363    50   304  2.2683  0.6183
   360    44   305  2.2673  0.6195
   365    44   305  2.2665  0.6192
   360    44   304  2.2647  0.6170
   361    50   304  2.2632  0.6165
   359    49   304  2.2582  0.6147
   364    50   304  2.2529  0.6128
   365    46   305  2.2458  0.6117
   359    45   304  2.2431  0.6092
   360    50   304  2.2408  0.6084
   365    50   304  2.2247  0.6026
   359    50   304  2.2028  0.5948
   359    45   305  2.2009  0.5956
   365    47   305  2.1972  0.5943
   359    44   305  2.1897  0.5916
   359    46   305  2.1892  0.5914
   359    44   304  2.1888  0.5898
   359    47   305  2.1512  0.5779
   365    48   305  2.1269  0.5693
   359    44   306  2.0993  0.5610
   359    45   306  2.0904  0.5579
   359    48   305  2.0848  0.5546
   360    44   306  2.0734  0.5520
   359    46   306  2.0530  0.5449
   365    49   305  2.0386  0.5386
   362    50   305  2.0238  0.5335
   363    50   305  2.0228  0.5331
   361    44   306  2.0200  0.5335
   359    46   303  2.0119  0.5268
   359    45   303  2.0115  0.5267
   363    43   305  2.3195  0.6386
   366    47   304  2.3182  0.6365
   362    43   305  2.3178  0.6380
   366    46   304  2.3144  0.6351
   366    48   304  2.2976  0.6290
   364    43   305  2.2926  0.6288
   361    43   305  2.2886  0.6273
   366    45   304  2.2885  0.6257
   363    43   304  2.2828  0.6236
   362    43   304  2.2785  0.6221
   364    43   304  2.2672  0.6179
   366    49   304  2.2519  0.6124
   361    43   304  2.2517  0.6123
   366    44   304  2.2439  0.6095
   365    43   305  2.2374  0.6087
   360    43   305  2.2344  0.6077
   365    43   304  2.2338  0.6059
   358    48   304  2.2165  0.5997
   358    47   304  2.2147  0.5990
   360    43   304  2.2001  0.5938
   358    49   304  2.1942  0.5917
   358    46   304  2.1902  0.5903
   366    43   304  2.1842  0.5882
   362    51   304  2.1834  0.5879
   366    50   304  2.1820  0.5874
   366    44   305  2.1795  0.5879
   366    45   305  2.1785  0.5876
   363    51   304  2.1782  0.5860
   361    51   304  2.1773  0.5857
   364    51   304  2.1618  0.5802
   359    43   305  2.1598  0.5810
   360    51   304  2.1590  0.5792
   366    43   305  2.1553  0.5794
   366    46   305  2.1524  0.5783
   358    50   304  2.1482  0.5754
   358    45   304  2.1468  0.5749
   365    51   304  2.1330  0.5701
   359    51   304  2.1272  0.5680
   359    43   304  2.1232  0.5666
   358    45   305  2.1057  0.5619
   366    47   305  2.1031  0.5610
   359    44   302  2.0967  0.5546
   358    44   305  2.0966  0.5587
   358    44   306  2.0940  0.5592
   358    46   305  2.0934  0.5576
   360    44   302  2.0926  0.5532
   366    51   304  2.0906  0.5552
   358    44   304  2.0894  0.5548
   358    45   306  2.0841  0.5557
   358    44   302  2.0830  0.5499
   358    51   304  2.0810  0.5519
   359    45   302  2.0800  0.5488
   359    43   306  2.0785  0.5538
   358    43   306  2.0761  0.5529
   360    45   302  2.0756  0.5473
   358    43   305  2.0707  0.5497
   358    45   302  2.0677  0.5446
   358    47   305  2.0556  0.5444
   360    43   306  2.0484  0.5433
   358    46   306  2.0472  0.5429
   359    46   302  2.0420  0.5358
   360    46   302  2.0369  0.5340
   366    48   305  2.0342  0.5370
   358    46   302  2.0317  0.5322
   358    43   304  2.0236  0.5321
   358    45   303  2.0166  0.5284
   358    46   303  2.0152  0.5279
   363    42   305  2.2629  0.6179
   362    42   305  2.2620  0.6176
   367    47   304  2.2526  0.6127
   367    46   304  2.2473  0.6108
   364    42   305  2.2373  0.6087
   361    42   305  2.2353  0.6080
   367    48   304  2.2341  0.6060
   367    45   304  2.2210  0.6013
   363    42   304  2.2089  0.5970
   362    42   304  2.2044  0.5953
   364    42   304  2.1939  0.5916
   367    49   304  2.1905  0.5904
   365    42   305  2.1854  0.5901
   360    42   305  2.1852  0.5900
   361    42   304  2.1776  0.5858
   367    44   304  2.1771  0.5856
   365    42   304  2.1614  0.5801
   361    45   301  2.1552  0.5736
   361    46   301  2.1441  0.5697
   361    44   301  2.1297  0.5647
   360    42   304  2.1266  0.5678
   360    45   301  2.1241  0.5628
   357    48   304  2.1239  0.5669
   367    50   304  2.1226  0.5664
   367    43   304  2.1194  0.5653
   360    46   301  2.1191  0.5610
   359    42   305  2.1158  0.5654
   366    42   304  2.1133  0.5631
   357    49   304  2.1124  0.5628
   357    47   304  2.1123  0.5628
   366    42   305  2.1087  0.5629
   360    44   301  2.0948  0.5526
   361    47   301  2.0932  0.5521
   359    43   302  2.0912  0.5527
   360    43   302  2.0864  0.5510
   362    52   304  2.0805  0.5517
   357    46   304  2.0800  0.5515
   358    43   302  2.0777  0.5480
   357    50   304  2.0774  0.5507
   361    52   304  2.0769  0.5505
   360    47   301  2.0762  0.5462
   361    43   301  2.0761  0.5461
   363    52   304  2.0732  0.5492
   361    44   302  2.0700  0.5454
   367    44   305  2.0665  0.5482
   359    46   301  2.0639  0.5420
   359    45   301  2.0626  0.5415
   361    43   302  2.0625  0.5428
   360    52   304  2.0621  0.5453
   367    45   305  2.0611  0.5463
   357    44   306  2.0574  0.5464
   364    52   304  2.0548  0.5428
   357    44   302  2.0543  0.5400
   361    45   302  2.0539  0.5398
   359    42   304  2.0514  0.5416
   367    42   304  2.0510  0.5415
   357    45   306  2.0494  0.5436
   357    43   302  2.0488  0.5381
   367    43   305  2.0485  0.5420
   357    43   306  2.0411  0.5408
   357    45   302  2.0409  0.5354
   360    43   301  2.0393  0.5335
   359    52   304  2.0355  0.5362
   358    42   306  2.0331  0.5380
   367    51   304  2.0328  0.5352
   358    42   305  2.0327  0.5365
   367    46   305  2.0325  0.5365
   357    45   304  2.0313  0.5347
   359    47   301  2.0305  0.5306
   359    42   306  2.0305  0.5371
   359    44   301  2.0303  0.5305
   365    52   304  2.0247  0.5324
   357    51   304  2.0206  0.5311
   357    46   306  2.0167  0.5323
   361    46   302  2.0162  0.5270
   357    45   303  2.0124  0.5269
   357    46   303  2.0095  0.5260
   367    42   305  2.0090  0.5284
   357    46   302  2.0078  0.5241
   357    42   306  2.0033  0.5277
   357    45   305  2.0007  0.5255
   362    41   305  2.1911  0.5921
   363    41   305  2.1900  0.5917
   361    41   305  2.1687  0.5841
   368    47   304  2.1676  0.5823
   364    41   305  2.1647  0.5827
   368    46   304  2.1617  0.5802
   368    48   304  2.1510  0.5764
   362    45   301  2.1510  0.5721
   368    45   304  2.1362  0.5712
   362    46   301  2.1343  0.5663
   362    44   301  2.1303  0.5649
   363    41   304  2.1265  0.5678
   360    41   305  2.1247  0.5686
   362    41   304  2.1222  0.5663
   365    41   305  2.1159  0.5655
   364    41   304  2.1118  0.5626
   368    49   304  2.1101  0.5620
   361    41   304  2.0968  0.5574
   368    44   304  2.0946  0.5566
   362    43   301  2.0809  0.5478
   365    41   304  2.0804  0.5517
   362    47   301  2.0775  0.5466
   359    42   302  2.0653  0.5438
   359    41   305  2.0625  0.5468
   360    42   302  2.0583  0.5414
   358    42   302  2.0539  0.5398
   360    41   304  2.0485  0.5406
   368    50   304  2.0452  0.5395
   366    41   305  2.0445  0.5406
   368    43   304  2.0403  0.5378
   366    41   304  2.0341  0.5357
   361    42   302  2.0325  0.5325
   362    44   300  2.0320  0.5298
   362    44   302  2.0304  0.5318
   357    42   302  2.0271  0.5307
   362    43   300  2.0236  0.5269
   362    43   302  2.0214  0.5287
   362    45   300  2.0188  0.5253
   361    44   300  2.0183  0.5251
   356    48   304  2.0175  0.5300
   356    49   304  2.0169  0.5298
   362    45   302  2.0162  0.5269
   356    44   302  2.0143  0.5263
   362    42   301  2.0141  0.5250
   356    43   302  2.0087  0.5244
   361    43   300  2.0079  0.5216
   361    45   300  2.0060  0.5210
   361    42   301  2.0057  0.5221
   361    48   301  2.0057  0.5221
   356    45   302  2.0029  0.5225
   356    45   303  2.0012  0.5231
   362    40   305  2.1117  0.5640
   363    45   301  2.1098  0.5578
   363    40   305  2.1075  0.5625
   363    44   301  2.0952  0.5527
   361    40   305  2.0947  0.5580
   363    46   301  2.0880  0.5503
   364    40   305  2.0820  0.5536
   369    47   304  2.0637  0.5459
   369    46   304  2.0582  0.5440
   360    40   305  2.0580  0.5453
   363    43   301  2.0523  0.5380
   369    48   304  2.0485  0.5406
   363    40   304  2.0386  0.5372
   365    40   305  2.0357  0.5375
   362    40   304  2.0354  0.5361
   369    45   304  2.0351  0.5360
   363    44   300  2.0279  0.5284
   363    47   301  2.0275  0.5295
   364    40   304  2.0240  0.5322
   359    41   302  2.0228  0.5292
   363    43   300  2.0199  0.5257
   363    45   300  2.0159  0.5243
   358    41   302  2.0156  0.5267
   361    40   304  2.0126  0.5283
   360    41   302  2.0122  0.5256
   369    49   304  2.0106  0.5276
   359    40   305  2.0044  0.5268
   364    45   301  2.0330  0.5314
   362    39   305  2.0298  0.5355
   364    44   301  2.0255  0.5289
   363    39   305  2.0222  0.5329
   361    39   305  2.0187  0.5317
   364    44   300  2.0078  0.5216
   364    46   301  2.0067  0.5225
