#   X     Y     Z      S       D
   422    68   191  2.0362  0.4612
   421    68   191  2.0321  0.4600
   422    67   191  2.0307  0.4596
   422    69   191  2.0290  0.4591
   421    67   191  2.0274  0.4586
   423    68   191  2.0259  0.4582
   421    69   191  2.0218  0.4570
   423    69   191  2.0211  0.4568
   423    67   191  2.0205  0.4567
   422    70   191  2.0133  0.4546
   423    70   191  2.0097  0.4536
   422    66   191  2.0082  0.4532
   420    68   191  2.0074  0.4530
   424    68   191  2.0071  0.4529
   420    67   191  2.0046  0.4521
   424    69   191  2.0040  0.4520
   421    66   191  2.0031  0.4517
   424    67   191  2.0022  0.4515
   421    70   191  2.0008  0.4511
   423    66   191  2.0006  0.4510
