#   X     Y     Z      S       D
    47   427   271  2.3400  0.5965
    46   427   271  2.3386  0.5960
    46   428   271  2.3377  0.5957
    47   428   271  2.3373  0.5956
    48   427   271  2.3171  0.5888
    47   426   271  2.3118  0.5871
    48   428   271  2.3110  0.5868
    46   426   271  2.3077  0.5857
    48   426   271  2.2948  0.5814
    45   427   271  2.3140  0.5878
    45   428   271  2.3131  0.5875
    46   429   271  2.3072  0.5856
    47   429   271  2.3064  0.5853
    45   426   271  2.2838  0.5778
    45   429   271  2.2829  0.5775
    48   429   271  2.2793  0.5763
    49   427   271  2.2703  0.5733
    49   428   271  2.2594  0.5697
    49   426   271  2.2565  0.5688
    47   425   271  2.2540  0.5679
    46   425   271  2.2467  0.5656
    48   425   271  2.2447  0.5649
    49   429   271  2.2266  0.5590
    45   425   271  2.2244  0.5582
    49   425   271  2.2178  0.5561
    44   427   271  2.2687  0.5728
    44   428   271  2.2661  0.5719
    46   430   271  2.2532  0.5677
    47   430   271  2.2529  0.5676
    44   426   271  2.2422  0.5641
    44   429   271  2.2362  0.5621
    45   430   271  2.2292  0.5598
    48   430   271  2.2271  0.5591
    50   427   271  2.2019  0.5509
    50   426   271  2.1982  0.5497
    44   425   271  2.1889  0.5467
    50   428   271  2.1855  0.5456
    44   430   271  2.1842  0.5451
    49   430   271  2.1765  0.5426
    50   425   271  2.1733  0.5416
    47   424   271  2.1716  0.5411
    48   424   271  2.1708  0.5408
    46   424   271  2.1614  0.5378
    49   424   271  2.1569  0.5363
    50   429   271  2.1516  0.5346
    45   424   271  2.1420  0.5315
    50   424   271  2.1284  0.5272
    44   424   271  2.1145  0.5227
    50   430   271  2.1040  0.5194
    44   424   272  2.0494  0.5031
    44   425   272  2.0339  0.4982
    45   424   272  2.0141  0.4920
    44   426   272  2.0059  0.4894
    43   427   271  2.2061  0.5523
    43   428   271  2.2010  0.5506
    43   426   271  2.1857  0.5456
    47   431   271  2.1845  0.5452
    46   431   271  2.1836  0.5449
    43   429   271  2.1718  0.5411
    48   431   271  2.1613  0.5378
    45   431   271  2.1603  0.5374
    43   425   271  2.1418  0.5315
    51   426   271  2.1233  0.5255
    43   430   271  2.1231  0.5255
    44   431   271  2.1181  0.5239
    51   427   271  2.1165  0.5234
    49   431   271  2.1147  0.5228
    51   425   271  2.1131  0.5223
    51   428   271  2.0944  0.5163
    51   424   271  2.0854  0.5134
    43   424   271  2.0796  0.5116
    48   423   271  2.0794  0.5115
    49   423   271  2.0783  0.5112
    47   423   271  2.0723  0.5093
    43   423   272  2.0696  0.5094
    43   424   272  2.0685  0.5091
    50   423   271  2.0661  0.5073
    43   431   271  2.0620  0.5061
    46   423   271  2.0601  0.5054
    51   429   271  2.0595  0.5053
    43   425   272  2.0544  0.5047
    44   423   272  2.0527  0.5041
    50   431   271  2.0472  0.5014
    45   423   271  2.0448  0.5006
    51   423   271  2.0408  0.4993
    44   423   271  2.0269  0.4950
    43   426   272  2.0269  0.4960
    45   423   272  2.0208  0.4940
    51   430   271  2.0149  0.4912
    43   423   271  2.0057  0.4883
    42   427   271  2.1313  0.5281
    42   428   271  2.1234  0.5256
    42   426   271  2.1180  0.5238
    47   432   271  2.1091  0.5210
    46   432   271  2.1071  0.5203
    42   429   271  2.0956  0.5167
    48   432   271  2.0891  0.5146
    42   425   271  2.0855  0.5135
    45   432   271  2.0849  0.5133
    42   424   272  2.0700  0.5096
    42   423   272  2.0700  0.5096
    43   422   272  2.0595  0.5062
    42   422   272  2.0584  0.5059
    42   425   272  2.0564  0.5053
    42   430   271  2.0520  0.5029
    49   432   271  2.0472  0.5014
    44   432   271  2.0463  0.5011
    44   422   272  2.0455  0.5018
    52   425   271  2.0406  0.4993
    42   424   271  2.0377  0.4984
    52   426   271  2.0369  0.4981
    52   424   271  2.0293  0.4958
    42   426   272  2.0287  0.4965
    52   427   271  2.0203  0.4929
    45   422   272  2.0176  0.4930
    52   423   271  2.0019  0.4872
    41   424   272  2.0541  0.5045
    41   423   272  2.0538  0.5045
    41   427   271  2.0500  0.5022
    41   426   271  2.0439  0.5003
    41   422   272  2.0422  0.5008
    43   421   272  2.0407  0.5003
    41   425   272  2.0404  0.5002
    41   428   271  2.0398  0.4990
    42   421   272  2.0383  0.4996
    47   433   271  2.0339  0.4972
    46   433   271  2.0314  0.4964
    44   421   272  2.0297  0.4969
    41   425   271  2.0229  0.4937
    41   421   272  2.0224  0.4945
    48   433   271  2.0165  0.4917
    41   429   271  2.0146  0.4911
    41   426   272  2.0123  0.4914
    45   433   271  2.0110  0.4900
    45   421   272  2.0063  0.4895
    40   423   272  2.0222  0.4945
    40   424   272  2.0222  0.4945
    43   420   272  2.0151  0.4923
    42   420   272  2.0119  0.4913
    40   422   272  2.0115  0.4911
    40   425   272  2.0087  0.4902
    44   420   272  2.0069  0.4897
