#   X     Y     Z      S       D
   231   114   221  2.1188  0.4892
   230   114   221  2.1142  0.4878
   231   115   221  2.1068  0.4857
   230   115   221  2.1023  0.4843
   231   113   221  2.0887  0.4804
   232   114   221  2.0883  0.4802
   230   113   221  2.0869  0.4798
   232   115   221  2.0724  0.4756
   232   113   221  2.0605  0.4721
   229   114   221  2.0726  0.4756
   231   116   221  2.0599  0.4720
   230   116   221  2.0587  0.4716
   229   115   221  2.0563  0.4709
   229   113   221  2.0533  0.4700
   233   114   221  2.0274  0.4626
   232   116   221  2.0196  0.4603
   230   112   221  2.0160  0.4593
   231   112   221  2.0132  0.4584
   229   116   221  2.0126  0.4583
   233   113   221  2.0057  0.4563
   233   115   221  2.0049  0.4561
