#   X     Y     Z      S       D
   249   415   150  3.9863  1.1713
   249   414   150  3.9814  1.1692
   248   415   150  3.9729  1.1655
   248   414   150  3.9621  1.1608
   250   415   150  3.9505  1.1558
   250   414   150  3.9501  1.1557
   249   416   150  3.9393  1.1510
   248   416   150  3.9312  1.1476
   250   416   150  3.9005  1.1344
   249   416   151  3.7174  1.0567
   248   416   151  3.7102  1.0538
   249   415   151  3.7086  1.0531
   248   415   151  3.7080  1.0529
   250   416   151  3.6812  1.0419
   248   414   151  3.6725  1.0384
   249   414   151  3.6674  1.0363
   250   415   151  3.6655  1.0356
   250   414   151  3.6185  1.0166
   250   416   149  3.4230  0.9413
   250   415   149  3.4172  0.9391
   249   416   149  3.3957  0.9308
   249   415   149  3.3918  0.9293
   250   414   149  3.3783  0.9241
   249   414   149  3.3537  0.9146
   248   416   149  3.3299  0.9056
   248   415   149  3.3285  0.9050
   248   414   149  3.2926  0.8914
   249   413   150  3.9226  1.1439
   247   415   150  3.9053  1.1365
   249   415   148  3.8987  1.1361
   250   413   150  3.8978  1.1333
   248   413   150  3.8965  1.1327
   247   414   150  3.8873  1.1288
   249   414   148  3.8845  1.1301
   248   415   148  3.8803  1.1283
   251   414   150  3.8730  1.1227
   247   416   150  3.8712  1.1220
   250   415   148  3.8711  1.1244
   251   415   150  3.8700  1.1215
   248   414   148  3.8642  1.1215
   249   416   148  3.8596  1.1195
   250   414   148  3.8582  1.1189
   249   417   150  3.8459  1.1113
   248   416   148  3.8427  1.1123
   248   417   150  3.8425  1.1099
   250   416   148  3.8320  1.1078
   251   413   150  3.8270  1.1033
   251   416   150  3.8189  1.1000
   247   413   150  3.8149  1.0983
   247   415   148  3.8137  1.1001
   249   413   148  3.8136  1.1001
   250   417   150  3.8052  1.0942
   251   415   148  3.8018  1.0951
   247   414   148  3.7945  1.0921
   250   413   148  3.7913  1.0907
   251   414   148  3.7905  1.0904
   248   413   148  3.7900  1.0902
   247   417   150  3.7899  1.0878
   247   416   148  3.7801  1.0861
   249   417   148  3.7751  1.0840
   251   416   148  3.7634  1.0791
   248   417   148  3.7607  1.0780
   250   417   148  3.7476  1.0725
   251   413   148  3.7292  1.0649
   251   417   150  3.7241  1.0606
   247   413   148  3.7171  1.0600
   247   417   148  3.7037  1.0544
   249   417   151  3.6914  1.0461
   251   417   148  3.6805  1.0449
   248   417   151  3.6777  1.0405
   250   417   151  3.6619  1.0341
   247   415   151  3.6609  1.0337
   247   416   151  3.6575  1.0323
   247   414   151  3.6300  1.0212
   247   417   151  3.6193  1.0169
   248   413   151  3.6056  1.0114
   251   416   151  3.6033  1.0105
   249   413   151  3.5971  1.0080
   251   417   151  3.5907  1.0054
   251   415   151  3.5814  1.0017
   247   413   151  3.5657  0.9955
   250   413   151  3.5450  0.9872
   251   414   151  3.5296  0.9811
   251   413   151  3.4541  0.9515
   251   416   149  3.4081  0.9356
   251   415   149  3.4014  0.9330
   250   417   149  3.3917  0.9293
   251   417   149  3.3789  0.9243
   251   414   149  3.3633  0.9183
   249   417   149  3.3624  0.9180
   250   413   149  3.3110  0.8984
   251   413   149  3.2991  0.8939
   248   417   149  3.2947  0.8922
   249   413   149  3.2855  0.8887
   247   415   149  3.2307  0.8682
   247   416   149  3.2290  0.8675
   248   413   149  3.2256  0.8663
   247   414   149  3.1982  0.8561
   247   417   149  3.1918  0.8537
   247   413   149  3.1341  0.8325
   250   417   152  2.0440  0.4726
   250   416   152  2.0424  0.4722
   249   417   152  2.0343  0.4698
   251   417   152  2.0323  0.4692
   249   416   152  2.0321  0.4692
   251   416   152  2.0308  0.4688
   250   415   152  2.0308  0.4688
   251   415   152  2.0201  0.4657
   249   415   152  2.0191  0.4654
   250   414   152  2.0078  0.4620
   248   417   152  2.0045  0.4611
   248   416   152  2.0011  0.4601
   249   412   150  3.8117  1.0969
   250   412   150  3.7958  1.0903
   246   415   150  3.7798  1.0836
   248   412   150  3.7779  1.0828
   246   416   150  3.7549  1.0733
   246   414   150  3.7537  1.0728
   252   414   150  3.7533  1.0726
   252   415   150  3.7476  1.0703
   251   412   150  3.7344  1.0648
   248   418   150  3.7136  1.0563
   252   413   150  3.7135  1.0562
   249   418   150  3.7132  1.0561
   246   415   148  3.6992  1.0526
   252   415   148  3.6970  1.0517
   252   416   150  3.6969  1.0494
   247   412   150  3.6899  1.0466
   252   414   148  3.6885  1.0482
   249   412   148  3.6885  1.0482
   246   417   150  3.6833  1.0439
   246   414   148  3.6750  1.0427
   246   413   150  3.6750  1.0405
   250   412   148  3.6742  1.0424
   246   416   148  3.6724  1.0416
   250   418   150  3.6716  1.0391
   247   418   150  3.6678  1.0376
   252   416   148  3.6591  1.0362
   248   412   148  3.6591  1.0362
   250   415   147  3.6588  1.0372
   249   415   147  3.6578  1.0368
   249   418   148  3.6569  1.0353
   248   418   148  3.6464  1.0311
