#   X     Y     Z      S       D
   435   456   195  2.0482  0.4645
   436   456   195  2.0394  0.4620
   435   457   195  2.0390  0.4619
   435   455   195  2.0386  0.4617
   434   456   195  2.0329  0.4601
   436   455   195  2.0328  0.4601
   436   457   195  2.0272  0.4585
   434   457   195  2.0266  0.4583
   434   455   195  2.0204  0.4565
   435   458   195  2.0123  0.4542
   435   454   195  2.0092  0.4534
   437   456   195  2.0068  0.4527
   436   454   195  2.0067  0.4527
   437   455   195  2.0028  0.4515
   434   458   195  2.0026  0.4515
