#   X     Y     Z      S       D
   259   467   152  2.1385  0.5006
   258   467   152  2.1384  0.5006
   258   466   152  2.1312  0.4985
   259   466   152  2.1288  0.4977
   260   467   152  2.1278  0.4974
   259   468   152  2.1269  0.4972
   258   468   152  2.1254  0.4967
   260   468   152  2.1181  0.4946
   260   466   152  2.1159  0.4939
   258   468   151  2.0412  0.4722
   257   467   152  2.1287  0.4977
   257   466   152  2.1238  0.4963
   257   468   152  2.1144  0.4935
   257   469   151  2.1092  0.4923
   261   467   152  2.1061  0.4910
   258   465   152  2.1037  0.4903
   257   465   152  2.0998  0.4891
   261   468   152  2.0983  0.4887
   259   465   152  2.0983  0.4887
   259   469   152  2.0948  0.4876
   261   466   152  2.0927  0.4870
   258   469   152  2.0925  0.4870
   260   469   152  2.0877  0.4855
   260   465   152  2.0830  0.4841
   258   469   151  2.0820  0.4842
   257   469   152  2.0817  0.4838
   257   468   151  2.0738  0.4818
   261   469   152  2.0703  0.4804
   261   465   152  2.0585  0.4769
   259   469   151  2.0344  0.4702
   257   467   151  2.0200  0.4660
   257   470   151  2.1242  0.4968
   256   470   151  2.1199  0.4955
   256   469   151  2.1123  0.4932
   256   467   152  2.1106  0.4923
   256   466   152  2.1080  0.4915
   258   470   151  2.1043  0.4909
   256   468   152  2.0955  0.4878
   256   465   152  2.0873  0.4854
   256   468   151  2.0827  0.4845
   262   467   152  2.0736  0.4814
   262   468   152  2.0674  0.4795
   259   470   151  2.0638  0.4789
   256   469   152  2.0634  0.4783
   262   466   152  2.0597  0.4773
   258   464   152  2.0574  0.4766
   257   464   152  2.0573  0.4766
   256   464   152  2.0489  0.4741
   259   464   152  2.0485  0.4740
   259   470   152  2.0436  0.4725
   262   469   152  2.0422  0.4721
   258   470   152  2.0412  0.4718
   260   470   152  2.0382  0.4709
   256   467   151  2.0333  0.4699
   257   470   152  2.0316  0.4690
   260   464   152  2.0310  0.4688
   262   465   152  2.0258  0.4673
   261   470   152  2.0240  0.4668
   256   470   152  2.0153  0.4643
   260   470   151  2.0069  0.4622
   261   464   152  2.0057  0.4614
   262   470   152  2.0000  0.4598
   257   471   151  2.1174  0.4948
   258   471   151  2.1066  0.4916
   256   471   151  2.1047  0.4910
   255   470   151  2.0893  0.4864
   255   469   151  2.0883  0.4861
   255   467   152  2.0860  0.4850
   255   466   152  2.0856  0.4849
   259   471   151  2.0753  0.4823
   255   468   152  2.0701  0.4803
   255   465   152  2.0680  0.4797
   255   471   151  2.0671  0.4799
   255   468   151  2.0646  0.4791
   255   469   152  2.0387  0.4711
   255   464   152  2.0333  0.4695
   263   467   152  2.0315  0.4690
   260   471   151  2.0272  0.4681
   263   468   152  2.0261  0.4674
   255   467   151  2.0203  0.4661
   263   466   152  2.0184  0.4651
   263   469   152  2.0034  0.4608
   257   472   151  2.0881  0.4861
   258   472   151  2.0876  0.4859
   259   472   151  2.0670  0.4798
   256   472   151  2.0666  0.4797
   254   466   152  2.0587  0.4770
   254   467   152  2.0571  0.4765
   254   465   152  2.0439  0.4726
   254   468   152  2.0401  0.4715
   254   469   151  2.0359  0.4707
   254   470   151  2.0316  0.4694
   260   472   151  2.0297  0.4688
   255   472   151  2.0224  0.4667
   254   468   151  2.0177  0.4653
   254   464   152  2.0125  0.4634
   254   469   152  2.0090  0.4624
   254   471   151  2.0046  0.4615
   258   473   151  2.0465  0.4738
   259   473   151  2.0373  0.4711
   257   473   151  2.0367  0.4709
   253   466   152  2.0293  0.4683
   253   467   152  2.0255  0.4672
   253   465   152  2.0171  0.4648
   260   473   151  2.0116  0.4636
   253   468   152  2.0070  0.4618
   256   473   151  2.0068  0.4622
