#   X     Y     Z      S       D
   370   209   237  2.2362  0.5320
   371   208   237  2.2355  0.5318
   369   209   237  2.2333  0.5311
   370   208   237  2.2331  0.5310
   371   209   237  2.2312  0.5305
   369   208   237  2.2236  0.5281
   369   210   237  2.2232  0.5280
   370   210   237  2.2225  0.5278
   371   210   237  2.2127  0.5248
   368   209   237  2.2265  0.5290
   372   208   237  2.2263  0.5290
   371   207   237  2.2248  0.5285
   372   207   237  2.2245  0.5284
   368   210   237  2.2179  0.5264
   372   209   237  2.2144  0.5253
   370   207   237  2.2135  0.5250
   368   208   237  2.2118  0.5245
   369   207   237  2.1957  0.5196
   369   211   237  2.1914  0.5183
   370   211   237  2.1911  0.5182
   372   210   237  2.1906  0.5181
   368   211   237  2.1834  0.5159
   371   211   237  2.1798  0.5148
   368   207   237  2.1768  0.5139
   372   211   237  2.1552  0.5074
   367   209   237  2.2190  0.5267
   367   210   237  2.2092  0.5238
   373   207   237  2.2084  0.5235
   372   206   237  2.2070  0.5231
   373   208   237  2.2019  0.5215
   367   208   237  2.2017  0.5215
   373   206   237  2.1994  0.5208
   371   206   237  2.1982  0.5204
   373   209   237  2.1829  0.5158
   370   206   237  2.1778  0.5142
   367   211   237  2.1689  0.5115
   367   207   237  2.1617  0.5094
   373   210   237  2.1540  0.5070
   369   206   237  2.1515  0.5063
   370   212   237  2.1405  0.5029
   369   212   237  2.1365  0.5018
   371   212   237  2.1312  0.5001
   368   206   237  2.1253  0.4984
   368   212   237  2.1212  0.4972
   373   211   237  2.1159  0.4956
   372   212   237  2.1070  0.4929
   367   206   237  2.1043  0.4921
   367   212   237  2.0963  0.4897
   373   212   237  2.0676  0.4812
   366   209   237  2.2128  0.5248
   366   210   237  2.1985  0.5205
   366   208   237  2.1958  0.5197
   374   207   237  2.1737  0.5130
   373   205   237  2.1723  0.5125
   374   206   237  2.1721  0.5125
   372   205   237  2.1721  0.5125
   374   208   237  2.1601  0.5089
   371   205   237  2.1552  0.5074
   366   207   237  2.1534  0.5068
   374   205   237  2.1520  0.5064
   366   211   237  2.1491  0.5055
   374   209   237  2.1354  0.5014
   370   205   237  2.1270  0.4989
   374   210   237  2.1023  0.4915
   369   205   237  2.0934  0.4889
   366   206   237  2.0922  0.4885
   370   213   237  2.0693  0.4817
   371   213   237  2.0652  0.4805
   366   212   237  2.0630  0.4798
   374   211   237  2.0622  0.4796
   368   205   237  2.0608  0.4792
   369   213   237  2.0574  0.4782
   372   213   237  2.0443  0.4743
   367   205   237  2.0346  0.4715
   368   213   237  2.0312  0.4704
   366   205   237  2.0187  0.4668
   374   212   237  2.0141  0.4654
   373   213   237  2.0071  0.4634
   365   209   237  2.2077  0.5233
   365   208   237  2.1943  0.5192
   365   210   237  2.1858  0.5166
   365   207   237  2.1524  0.5065
   373   204   237  2.1260  0.4986
   365   211   237  2.1242  0.4981
   375   206   237  2.1236  0.4979
   375   207   237  2.1196  0.4967
   372   204   237  2.1195  0.4967
   374   204   237  2.1118  0.4944
   375   205   237  2.1093  0.4936
   375   208   237  2.1011  0.4911
   371   204   237  2.0966  0.4898
   365   206   237  2.0897  0.4878
   375   204   237  2.0748  0.4833
   375   209   237  2.0725  0.4826
   370   204   237  2.0626  0.4797
   375   210   237  2.0371  0.4722
   369   204   237  2.0241  0.4684
   365   212   237  2.0221  0.4678
   365   205   237  2.0142  0.4655
   364   209   237  2.2022  0.5216
   364   208   237  2.1953  0.5195
   364   210   237  2.1699  0.5118
   364   207   237  2.1566  0.5078
   364   206   237  2.0950  0.4893
   364   211   237  2.0940  0.4890
   373   203   237  2.0617  0.4794
   376   206   237  2.0550  0.4775
   374   203   237  2.0522  0.4767
   372   203   237  2.0509  0.4763
   376   207   237  2.0477  0.4753
   376   205   237  2.0448  0.4745
   376   208   237  2.0269  0.4692
   371   203   237  2.0244  0.4685
   375   203   237  2.0203  0.4672
   364   205   237  2.0194  0.4670
   376   204   237  2.0149  0.4657
   363   208   237  2.1951  0.5195
   363   209   237  2.1933  0.5189
   363   207   237  2.1622  0.5095
   363   210   237  2.1490  0.5055
   363   206   237  2.1042  0.4921
   363   211   237  2.0580  0.4784
   363   205   237  2.0308  0.4703
   362   208   237  2.1896  0.5178
   362   209   237  2.1778  0.5142
   362   207   237  2.1645  0.5102
   362   210   237  2.1211  0.4971
   362   206   237  2.1123  0.4945
   362   205   237  2.0434  0.4740
   362   211   237  2.0155  0.4658
   361   208   237  2.1750  0.5134
   361   207   237  2.1589  0.5085
   361   209   237  2.1528  0.5066
   361   206   237  2.1147  0.4952
   361   210   237  2.0843  0.4862
   361   205   237  2.0525  0.4767
   360   208   237  2.1485  0.5054
   360   207   237  2.1425  0.5035
   360   209   237  2.1160  0.4956
   360   206   237  2.1078  0.4931
   360   205   237  2.0544  0.4773
   360   210   237  2.0371  0.4722
   359   207   237  2.1135  0.4949
   359   208   237  2.1090  0.4935
   359   206   237  2.0897  0.4877
   359   209   237  2.0665  0.4809
   359   205   237  2.0468  0.4750
   358   207   237  2.0723  0.4826
   358   206   237  2.0600  0.4789
   358   208   237  2.0568  0.4780
   358   205   237  2.0286  0.4697
   358   209   237  2.0049  0.4627
   357   207   237  2.0199  0.4671
   357   206   237  2.0192  0.4669
