#   X     Y     Z      S       D
   153   470   293  2.0481  0.5264
   154   470   293  2.0452  0.5254
   152   470   293  2.0446  0.5252
   152   471   293  2.0431  0.5247
   153   471   293  2.0421  0.5243
   154   469   293  2.0394  0.5235
   153   469   293  2.0369  0.5226
   154   471   293  2.0338  0.5216
   152   469   293  2.0287  0.5199
   151   471   293  2.0392  0.5234
   151   470   293  2.0373  0.5228
   155   469   293  2.0337  0.5216
   155   470   293  2.0334  0.5215
   154   468   293  2.0205  0.5172
   155   468   293  2.0201  0.5170
   152   472   293  2.0188  0.5166
   151   472   293  2.0177  0.5162
   151   469   293  2.0175  0.5162
   155   471   293  2.0161  0.5157
   153   472   293  2.0138  0.5150
   153   468   293  2.0131  0.5147
   154   472   293  2.0008  0.5106
   152   468   293  2.0005  0.5105
   150   471   293  2.0316  0.5209
   150   470   293  2.0276  0.5195
   156   469   293  2.0182  0.5164
   150   472   293  2.0116  0.5142
   156   470   293  2.0115  0.5142
   156   468   293  2.0102  0.5138
   150   469   293  2.0051  0.5121
   149   471   293  2.0201  0.5170
   149   470   293  2.0156  0.5155
   149   472   293  2.0002  0.5104
   148   471   293  2.0032  0.5114
   148   470   293  2.0001  0.5104
