#   X     Y     Z      S       D
   179   167   146  2.2083  0.5245
   179   166   146  2.2066  0.5240
   180   167   146  2.2019  0.5225
   179   168   146  2.1988  0.5216
   180   168   146  2.1977  0.5213
   180   166   146  2.1949  0.5204
   178   166   146  2.1828  0.5167
   178   167   146  2.1775  0.5151
   178   168   146  2.1616  0.5103
   179   165   146  2.1960  0.5207
   180   169   146  2.1797  0.5158
   178   165   146  2.1794  0.5157
   180   165   146  2.1790  0.5156
   179   169   146  2.1754  0.5145
   181   168   146  2.1626  0.5106
   181   167   146  2.1622  0.5105
   181   166   146  2.1511  0.5071
   181   169   146  2.1501  0.5068
   178   169   146  2.1326  0.5015
   181   165   146  2.1314  0.5012
   177   165   146  2.1295  0.5006
   177   166   146  2.1235  0.4988
   177   167   146  2.1094  0.4946
   177   168   146  2.0859  0.4876
   177   169   146  2.0509  0.4772
   177   165   147  2.0227  0.4684
   179   164   146  2.1784  0.5154
   178   164   146  2.1688  0.5125
   180   164   146  2.1562  0.5087
   180   170   146  2.1453  0.5054
   179   170   146  2.1352  0.5023
   177   164   146  2.1279  0.5001
   181   170   146  2.1226  0.4985
   176   164   147  2.1098  0.4943
   181   164   146  2.1049  0.4933
   182   168   146  2.1009  0.4921
   182   167   146  2.0964  0.4907
   182   169   146  2.0941  0.4900
   178   170   146  2.0877  0.4881
   182   166   146  2.0821  0.4864
   182   170   146  2.0743  0.4841
   176   165   147  2.0689  0.4821
   177   164   147  2.0654  0.4810
   182   165   146  2.0597  0.4798
   176   164   146  2.0582  0.4793
   176   165   146  2.0490  0.4766
   176   166   146  2.0319  0.4716
   182   164   146  2.0307  0.4712
   176   166   147  2.0205  0.4678
   176   167   146  2.0075  0.4644
   177   170   146  2.0023  0.4629
   175   163   147  2.1565  0.5083
   179   163   146  2.1552  0.5083
   178   163   146  2.1520  0.5074
   176   163   147  2.1420  0.5039
   175   164   147  2.1290  0.5000
   180   163   146  2.1281  0.5002
   177   163   146  2.1193  0.4975
   177   163   147  2.1011  0.4916
   180   171   146  2.0928  0.4896
   175   165   147  2.0915  0.4888
   181   171   146  2.0785  0.4854
   179   171   146  2.0764  0.4847
   181   163   146  2.0734  0.4839
   176   163   146  2.0592  0.4796
   175   166   147  2.0448  0.4749
   182   171   146  2.0402  0.4740
   178   163   147  2.0345  0.4719
   178   171   146  2.0250  0.4695
   183   168   146  2.0222  0.4687
   183   169   146  2.0209  0.4683
   183   167   146  2.0139  0.4663
   183   170   146  2.0089  0.4648
   175   162   147  2.1713  0.5128
   176   162   147  2.1622  0.5100
   174   162   147  2.1551  0.5079
   174   163   147  2.1463  0.5052
   178   162   146  2.1299  0.5007
   179   162   146  2.1276  0.5000
   177   162   147  2.1255  0.4989
   174   164   147  2.1246  0.4987
   177   162   146  2.1039  0.4929
   180   162   146  2.0964  0.4907
   174   165   147  2.0918  0.4889
   178   162   147  2.0618  0.4800
   176   162   146  2.0517  0.4774
   174   166   147  2.0484  0.4760
   181   162   146  2.0388  0.4736
   180   172   146  2.0216  0.4685
   181   172   146  2.0173  0.4673
   175   161   147  2.1697  0.5123
   176   161   147  2.1653  0.5109
   174   161   147  2.1483  0.5058
   177   161   147  2.1328  0.5011
   173   162   147  2.1177  0.4966
   173   163   147  2.1153  0.4959
   173   161   147  2.1057  0.4930
   178   161   146  2.1031  0.4927
   173   164   147  2.1001  0.4914
   179   161   146  2.0967  0.4908
   177   161   146  2.0822  0.4865
   173   165   147  2.0730  0.4833
   178   161   147  2.0725  0.4831
   180   161   146  2.0625  0.4806
   176   161   146  2.0358  0.4727
   173   166   147  2.0343  0.4718
   181   161   146  2.0029  0.4630
   175   160   147  2.1474  0.5055
   176   160   147  2.1462  0.5052
   174   160   147  2.1229  0.4982
   177   160   147  2.1168  0.4963
   173   160   147  2.0772  0.4845
   178   160   146  2.0719  0.4834
   172   163   147  2.0684  0.4819
   172   162   147  2.0644  0.4807
   179   160   146  2.0631  0.4808
   172   164   147  2.0599  0.4794
   178   160   147  2.0596  0.4793
   177   160   146  2.0541  0.4781
   172   161   147  2.0472  0.4757
   172   165   147  2.0391  0.4733
   180   160   146  2.0274  0.4702
   172   160   147  2.0158  0.4664
   176   160   146  2.0112  0.4655
   172   166   147  2.0062  0.4636
   175   159   147  2.1015  0.4918
   176   159   147  2.1010  0.4916
   174   159   147  2.0767  0.4844
   177   159   147  2.0731  0.4833
   178   159   146  2.0359  0.4727
   173   159   147  2.0308  0.4708
   179   159   146  2.0265  0.4700
   177   159   146  2.0192  0.4678
   178   159   147  2.0184  0.4672
   171   163   147  2.0101  0.4647
   171   164   147  2.0081  0.4642
   171   162   147  2.0002  0.4618
   175   158   147  2.0313  0.4710
   176   158   147  2.0290  0.4703
   174   158   147  2.0092  0.4645
   177   158   147  2.0007  0.4620
