#   X     Y     Z      S       D
   247   465   324  2.0914  0.5839
   247   464   324  2.0863  0.5821
   246   465   324  2.0842  0.5813
   248   465   324  2.0814  0.5802
   246   464   324  2.0807  0.5800
   247   466   324  2.0793  0.5795
   248   464   324  2.0743  0.5776
   248   466   324  2.0727  0.5771
   246   466   324  2.0691  0.5757
   247   463   324  2.0687  0.5756
   246   463   324  2.0636  0.5737
   245   465   324  2.0580  0.5717
   249   465   324  2.0559  0.5709
   248   463   324  2.0558  0.5708
   245   464   324  2.0556  0.5708
   249   466   324  2.0511  0.5691
   249   464   324  2.0464  0.5674
   247   467   324  2.0458  0.5672
   248   467   324  2.0441  0.5665
   245   466   324  2.0406  0.5653
   245   463   324  2.0387  0.5646
   246   467   324  2.0312  0.5618
   249   467   324  2.0276  0.5605
   249   463   324  2.0266  0.5602
   247   462   324  2.0427  0.5660
   246   462   324  2.0375  0.5641
   248   462   324  2.0296  0.5612
   250   465   324  2.0167  0.5566
   250   466   324  2.0160  0.5563
   245   462   324  2.0125  0.5550
   244   465   324  2.0114  0.5546
   244   464   324  2.0095  0.5540
   250   464   324  2.0044  0.5521
   247   461   324  2.0113  0.5546
   246   461   324  2.0062  0.5528
