#   X     Y     Z      S       D
   445   317   266  2.7305  0.7251
   445   316   266  2.7223  0.7222
   444   317   266  2.7150  0.7196
   446   316   266  2.7117  0.7184
   446   317   266  2.7113  0.7183
   445   318   266  2.7100  0.7178
   444   318   266  2.7024  0.7151
   444   316   266  2.6997  0.7141
   446   318   266  2.6821  0.7079
   444   316   265  2.0323  0.4910
   444   317   265  2.0136  0.4852
   445   316   265  2.0115  0.4846
   445   315   266  2.6868  0.7095
   446   315   266  2.6834  0.7083
   443   317   266  2.6715  0.7041
   443   318   266  2.6657  0.7021
   444   319   266  2.6604  0.7002
   445   319   266  2.6603  0.7001
   447   316   266  2.6602  0.7001
   444   315   266  2.6592  0.6997
   443   316   266  2.6509  0.6968
   447   317   266  2.6501  0.6965
   447   315   266  2.6411  0.6934
   443   319   266  2.6310  0.6898
   446   319   266  2.6248  0.6876
   447   318   266  2.6120  0.6831
   443   315   266  2.6076  0.6816
   447   319   266  2.5477  0.6608
   445   315   264  2.3085  0.5779
   446   315   264  2.3070  0.5774
   444   315   264  2.2787  0.5682
   446   316   264  2.2687  0.5650
   445   316   264  2.2664  0.5642
   446   317   264  2.2342  0.5538
   444   316   264  2.2314  0.5529
   445   317   264  2.2265  0.5513
   443   315   264  2.2246  0.5507
   445   318   264  2.1878  0.5389
   444   317   264  2.1848  0.5380
   443   316   264  2.1715  0.5337
   444   318   264  2.1388  0.5234
   443   317   264  2.1182  0.5169
   443   318   264  2.0652  0.5003
   443   315   265  2.0578  0.4989
   444   315   265  2.0469  0.4955
   443   316   265  2.0406  0.4936
   445   315   265  2.0234  0.4882
   443   317   265  2.0180  0.4866
   446   314   266  2.6277  0.6886
   445   314   266  2.6261  0.6881
   442   317   266  2.6051  0.6807
   442   318   266  2.6048  0.6806
   444   314   266  2.5962  0.6776
   447   314   266  2.5929  0.6765
   444   320   266  2.5885  0.6749
   445   320   266  2.5819  0.6726
   442   316   266  2.5810  0.6723
   442   319   266  2.5763  0.6707
   443   320   266  2.5658  0.6670
   448   316   266  2.5606  0.6652
   448   315   266  2.5520  0.6623
   443   314   266  2.5448  0.6598
   446   320   266  2.5408  0.6584
   448   317   266  2.5404  0.6582
   442   315   266  2.5369  0.6570
   442   320   266  2.5176  0.6504
   448   314   266  2.5133  0.6489
   448   318   266  2.4938  0.6422
   442   314   266  2.4764  0.6363
   447   320   266  2.4596  0.6306
