         1        232        301        243    229.496    303.915    242.759     6.1003     2.3893      10280    1613.31    14.1053        198        255        283        339        236        249    1783.58    1.10554
         2        171        280        244    171.159    279.368    243.616     6.3473     2.5957       2686     421.99    13.5407        160        181        269        289        238        249    466.544    1.10558
         3        195        142        127    194.805    141.629    126.676     5.7954     2.2079       4854    644.388    13.6904        172        218        129        155        122        132    710.812    1.10308
         4        134        239        253    134.324    239.521    253.207     5.9499     2.3222       1546    246.422    13.2833        127        144        232        248        249        258    272.525    1.10593
         5        267        245        232    267.143    247.447    232.288      5.804     2.1314       3362    519.329    13.5897        250        283        233        266        227        237    574.131    1.10553
         6        339        181        119    339.088    180.435    118.495     5.7449     2.1997       2340    307.019    13.3677        329        353        169        190        113        122    338.731    1.10329
         7        412        117        261    411.272    116.659    260.816     5.6471     2.1516       1510    243.468    13.2626        399        420        109        124        255        264    269.271    1.10598
         8        287        199        223    286.924    199.044    223.141     5.7474     2.0673        762    116.123    12.9332        278        293        190        207        221        225    128.359    1.10538
         9        273        169        224    272.579    168.708    223.739     5.6616     2.0142        828    126.293    12.9646        267        278        162        175        220        227    139.588    1.10527
        10        233        286        279    233.007    285.537    279.414     5.7059     2.3094        766    127.071    12.9945        226        239        279        293        277        282    140.608    1.10653
        11        251        147        253    250.965    146.664    252.662     5.5055      2.015        349    55.5908    12.6083        246        256        141        152        251        256    61.4809    1.10596
        12        324        283        330    323.904    283.197    330.638     5.4271     2.5197        764    137.394    13.0468        316        329        276        294        327        336    152.158    1.10746
        13        135        290        171    134.833    289.542    170.669     5.4577     1.8786        832    117.453      12.92        129        141        284        295        166        175    129.704     1.1043
        14        174        282        260    174.246    281.493    259.935     5.4278     1.9977        858    138.206    13.0022        168        181        268        291        258        262    152.835    1.10585
        15        208         70        283    208.379     70.184    283.407     5.4495     2.1513        351    58.6155    12.6441        204        213         65         75        281        287    64.8349    1.10611
        16        240        240        160     239.47    240.032    159.702     5.3902     1.8593        130    18.0669    12.1051        235        244        234        246        158        160    19.9453    1.10397
        17        172         94        277    171.993     94.015    276.562     5.4487     2.1043        178    29.4081    12.3402        166        177         89         99        276        277    32.5282     1.1061
        18        376        204        219    376.205    204.504    219.758     5.3411     1.8137        412    62.4742    12.6394        371        381        199        210        217        223    69.0428    1.10514
        19        282        323        237    282.262    323.379     237.09     5.3141     1.8383        196    30.4942    12.3304        279        285        320        327        234        240    33.7138    1.10558
        20         86        304        154     85.516    304.096    153.983     5.2673     1.7973         55     7.5841     11.722         82         89        300        308        153        154    8.37306    1.10403
        21         83        317        173     83.006    317.247    172.498     5.1883     1.7236         79     11.186    11.8833         80         86        314        321        171        174    12.3464    1.10374
        22        149        366        318    149.351    365.496    317.666     5.1886     2.2163         75    13.2156    12.0031        146        152        362        368        317        319    14.6293    1.10697
        23        302        225        154     302.42    225.051     154.32      5.171     1.7427         61     8.4188    11.7619        299        306        222        228        154        155    9.29014     1.1035
        24        346        202        149    345.822    201.704        149     5.2188       1.78         47     6.4295    11.6485        343        349        198        205        149        149     7.1009    1.10443
        25        196        169        127    195.926    168.784    126.921     5.2024     1.8253         48     6.3695     11.649        192        199        166        172        126        127     7.0304    1.10376
        26        250        324        238    250.412    323.996        238     5.1861     1.7674         53     8.2704    11.7566        246        255        321        327        238        238     9.1297     1.1039
        27        197        169        123    196.975    168.546    123.458     5.1645     1.8126         74     9.7862    11.8342        194        200        165        172        123        124    10.7833    1.10188
        28        209        292        233    208.719    292.052        233     5.1563     1.7374         50     7.7405    11.7248        205        212        288        296        233        233    8.54899    1.10445
        29        191        232        234    191.002    232.417        234     5.1494     1.7361         40     6.1995    11.6283        188        194        229        236        234        234     6.8488    1.10473
        30         85        304        159     85.043    303.699        159     5.1568     1.7259         26     3.6138    11.3929         83         87        301        306        159        159    3.98635    1.10309
        31        226        238        229    225.561    238.358        229      5.154     1.7268         53     8.1581    11.7466        221        230        235        242        229        229    9.00677    1.10403
        32        272        228        283    272.456    228.293        283     5.1582     1.9515         31     5.1776    11.5714        270        275        226        231        283        283    5.72154    1.10506
        33        351        200        147     351.21    200.444    146.732     5.1317     1.7364         84    11.4786    11.8959        348        354        196        204        146        148    12.6529     1.1023
