#   X     Y     Z      S       D
    91   472   222  2.6967  0.6696
    92   472   222  2.6952  0.6691
    91   473   222  2.6932  0.6685
    92   473   222  2.6932  0.6685
    90   472   222  2.6927  0.6683
    90   473   222  2.6890  0.6671
    91   471   222  2.6740  0.6622
    92   471   222  2.6714  0.6613
    90   471   222  2.6696  0.6607
    93   473   222  2.6886  0.6669
    93   472   222  2.6881  0.6668
    89   472   222  2.6809  0.6644
    89   473   222  2.6782  0.6635
    92   474   222  2.6653  0.6593
    93   474   222  2.6634  0.6587
    91   474   222  2.6630  0.6586
    93   471   222  2.6621  0.6583
    90   474   222  2.6576  0.6568
    89   471   222  2.6562  0.6563
    89   474   222  2.6470  0.6533
    91   470   222  2.6259  0.6464
    92   470   222  2.6224  0.6453
    90   470   222  2.6211  0.6449
    93   470   222  2.6112  0.6416
    89   470   222  2.6066  0.6402
    94   473   222  2.6768  0.6631
    94   472   222  2.6739  0.6621
    88   472   222  2.6577  0.6568
    88   473   222  2.6570  0.6566
    94   474   222  2.6540  0.6556
    94   471   222  2.6456  0.6529
    88   471   222  2.6313  0.6482
    88   474   222  2.6273  0.6469
    93   475   222  2.6114  0.6417
    92   475   222  2.6099  0.6412
    94   475   222  2.6049  0.6396
    91   475   222  2.6045  0.6395
    90   475   222  2.5968  0.6370
    94   470   222  2.5928  0.6357
    89   475   222  2.5855  0.6333
    88   470   222  2.5808  0.6318
    88   475   222  2.5669  0.6274
    91   469   222  2.5550  0.6235
    90   469   222  2.5505  0.6221
    92   469   222  2.5501  0.6220
    93   469   222  2.5371  0.6178
    89   469   222  2.5361  0.6175
    94   469   222  2.5174  0.6115
    88   469   222  2.5112  0.6096
    95   473   222  2.6543  0.6557
    95   472   222  2.6502  0.6544
    95   474   222  2.6330  0.6487
    95   471   222  2.6211  0.6449
    87   473   222  2.6211  0.6449
    87   472   222  2.6197  0.6444
    87   474   222  2.5941  0.6361
    87   471   222  2.5923  0.6356
    95   475   222  2.5857  0.6334
    95   470   222  2.5679  0.6277
    87   470   222  2.5424  0.6195
    87   475   222  2.5368  0.6177
    93   476   222  2.5292  0.6153
    94   476   222  2.5267  0.6145
    92   476   222  2.5234  0.6134
    91   476   222  2.5138  0.6104
    87   468   223  2.5115  0.6101
    95   476   222  2.5103  0.6093
    90   476   222  2.5028  0.6069
    96   473   222  2.6184  0.6440
    96   472   222  2.6153  0.6430
    96   474   222  2.5965  0.6369
    96   471   222  2.5878  0.6341
    86   473   222  2.5682  0.6278
    86   472   222  2.5653  0.6269
    86   467   223  2.5511  0.6228
    96   475   222  2.5494  0.6218
    86   474   222  2.5445  0.6202
    86   471   222  2.5385  0.6183
    96   470   222  2.5374  0.6179
    86   468   223  2.5306  0.6162
    87   467   223  2.5251  0.6145
    86   469   223  2.5079  0.6090
    85   466   223  2.5939  0.6365
    85   467   223  2.5734  0.6299
    97   472   222  2.5681  0.6277
    97   473   222  2.5673  0.6275
    86   466   223  2.5666  0.6278
    85   468   223  2.5468  0.6214
    97   471   222  2.5458  0.6206
    97   474   222  2.5428  0.6196
    87   466   223  2.5346  0.6175
    85   469   223  2.5172  0.6119
    97   470   222  2.5020  0.6066
    88   466   223  2.5011  0.6068
    84   465   223  2.6266  0.6472
    84   466   223  2.6133  0.6428
    85   465   223  2.6049  0.6401
    84   467   223  2.5891  0.6350
    86   465   223  2.5741  0.6302
    84   468   223  2.5576  0.6249
    87   465   223  2.5372  0.6183
    84   469   223  2.5219  0.6134
    98   472   222  2.5087  0.6088
    98   473   222  2.5013  0.6064
    83   465   223  2.6367  0.6505
    83   464   223  2.6350  0.6499
    84   464   223  2.6253  0.6468
    83   466   223  2.6221  0.6457
    85   464   223  2.6032  0.6396
    83   467   223  2.5953  0.6370
    86   464   223  2.5706  0.6290
    83   468   223  2.5601  0.6257
    87   464   223  2.5303  0.6161
    83   469   223  2.5197  0.6127
    82   465   223  2.6331  0.6493
    82   464   223  2.6307  0.6485
    82   466   223  2.6179  0.6444
    83   463   223  2.6134  0.6429
    82   463   223  2.6070  0.6408
    84   463   223  2.6059  0.6404
    82   467   223  2.5894  0.6351
    85   463   223  2.5852  0.6337
    86   463   223  2.5529  0.6233
    82   468   223  2.5516  0.6229
    87   463   223  2.5112  0.6100
    82   469   223  2.5076  0.6089
    81   465   223  2.6147  0.6433
    81   464   223  2.6117  0.6423
    81   466   223  2.5991  0.6382
    81   463   223  2.5863  0.6341
    81   467   223  2.5694  0.6287
    83   462   223  2.5687  0.6284
    84   462   223  2.5649  0.6272
    82   462   223  2.5588  0.6252
    85   462   223  2.5477  0.6217
    81   462   223  2.5352  0.6177
    81   468   223  2.5297  0.6159
    86   462   223  2.5178  0.6121
    80   465   223  2.5814  0.6325
    80   464   223  2.5782  0.6315
    80   466   223  2.5653  0.6274
    80   463   223  2.5518  0.6230
    80   467   223  2.5348  0.6176
    84   461   223  2.5000  0.6065
    79   465   223  2.5351  0.6176
    79   464   223  2.5321  0.6167
    79   466   223  2.5185  0.6124
    79   463   223  2.5055  0.6082
