#   X     Y     Z      S       D
   189   137   113  3.5481  1.0347
   190   137   113  3.5431  1.0326
   190   138   113  3.5400  1.0313
   189   136   113  3.5397  1.0312
   189   138   113  3.5350  1.0292
   188   137   113  3.5348  1.0291
   188   136   113  3.5348  1.0291
   190   136   113  3.5275  1.0261
   188   138   113  3.5112  1.0192
   190   138   112  3.0770  0.8471
   190   137   112  3.0627  0.8417
   190   136   112  3.0270  0.8281
   189   138   112  3.0101  0.8218
   189   137   112  2.9941  0.8158
   189   136   112  2.9549  0.8011
   188   138   112  2.9312  0.7923
   188   137   112  2.9120  0.7852
   188   136   112  2.8678  0.7690
   191   138   113  3.5310  1.0275
   191   137   113  3.5253  1.0251
   191   139   113  3.5202  1.0230
   190   139   113  3.5182  1.0222
   187   136   113  3.5089  1.0183
   188   135   113  3.5087  1.0182
   189   135   113  3.5084  1.0181
   191   136   113  3.5033  1.0160
   189   139   113  3.5014  1.0152
   187   137   113  3.4999  1.0145
   190   135   113  3.4920  1.0113
   187   135   113  3.4892  1.0101
   188   139   113  3.4653  1.0002
   187   138   113  3.4652  1.0002
   191   135   113  3.4643  0.9998
   187   139   113  3.4073  0.9764
   191   138   111  3.3018  0.9362
   191   137   111  3.2988  0.9350
   191   139   111  3.2879  0.9306
   190   137   111  3.2839  0.9290
   191   136   111  3.2784  0.9268
   190   136   111  3.2760  0.9259
   190   138   111  3.2741  0.9251
   189   136   111  3.2576  0.9185
   189   137   111  3.2536  0.9170
   190   135   111  3.2487  0.9150
   190   139   111  3.2472  0.9144
   189   135   111  3.2413  0.9121
   191   135   111  3.2389  0.9111
   189   138   111  3.2311  0.9081
   188   136   111  3.2225  0.9047
   188   135   111  3.2156  0.9019
   188   137   111  3.2079  0.8989
   189   139   111  3.1906  0.8922
   188   138   111  3.1731  0.8853
   187   135   111  3.1715  0.8847
   187   136   111  3.1713  0.8846
   187   137   111  3.1476  0.8754
   191   138   112  3.1366  0.8700
   191   139   112  3.1354  0.8696
   191   137   112  3.1220  0.8644
   188   139   111  3.1189  0.8643
   187   138   111  3.1016  0.8576
   191   136   112  3.0877  0.8512
   190   139   112  3.0734  0.8458
   187   139   111  3.0343  0.8320
   191   135   112  3.0298  0.8292
   189   139   112  3.0056  0.8201
   190   135   112  2.9665  0.8054
   188   139   112  2.9272  0.7908
   189   135   112  2.8900  0.7771
   187   138   112  2.8366  0.7576
   187   139   112  2.8343  0.7568
   187   137   112  2.8133  0.7492
   188   135   112  2.7974  0.7434
   187   136   112  2.7636  0.7313
   187   135   112  2.6880  0.7045
   192   138   113  3.5135  1.0202
   192   139   113  3.5124  1.0197
   192   137   113  3.5001  1.0146
   192   140   113  3.4948  1.0124
   191   140   113  3.4914  1.0110
   190   140   113  3.4768  1.0050
   192   136   113  3.4727  1.0033
   186   136   113  3.4607  0.9983
   188   134   113  3.4539  0.9955
   189   134   113  3.4518  0.9947
   186   135   113  3.4485  0.9933
   189   140   113  3.4469  0.9926
   186   137   113  3.4422  0.9907
   187   134   113  3.4378  0.9889
   190   134   113  3.4347  0.9876
   192   135   113  3.4305  0.9859
   191   134   113  3.4067  0.9762
   186   134   113  3.4023  0.9744
   188   140   113  3.3979  0.9725
   186   138   113  3.3968  0.9721
   192   134   113  3.3722  0.9621
   187   140   113  3.3278  0.9442
   186   139   113  3.3278  0.9442
   192   138   111  3.3155  0.9416
   192   139   111  3.3139  0.9410
   192   137   111  3.3001  0.9355
   192   140   111  3.2948  0.9334
   192   136   111  3.2670  0.9223
   191   140   111  3.2564  0.9181
   186   140   113  3.2380  0.9085
   192   135   111  3.2148  0.9016
   189   134   111  3.2026  0.8968
   190   140   111  3.2024  0.8968
   190   134   111  3.1997  0.8957
   192   139   112  3.1952  0.8928
   192   138   112  3.1930  0.8920
   192   140   112  3.1857  0.8891
   188   134   111  3.1849  0.8899
   191   134   111  3.1783  0.8873
   192   137   112  3.1762  0.8854
   187   134   111  3.1469  0.8751
   192   134   111  3.1419  0.8732
   192   136   112  3.1409  0.8717
   189   140   111  3.1316  0.8692
   191   140   112  3.1211  0.8641
   186   135   111  3.1104  0.8610
   186   136   111  3.1049  0.8589
   186   134   111  3.0899  0.8531
   192   135   112  3.0830  0.8494
   186   137   111  3.0740  0.8470
   190   140   112  3.0546  0.8386
   188   140   111  3.0453  0.8361
   186   138   111  3.0185  0.8260
   192   134   112  2.9997  0.8179
   189   140   112  2.9828  0.8116
   187   140   111  2.9464  0.7989
   191   134   112  2.9457  0.7977
   186   139   111  2.9397  0.7964
   188   140   112  2.9017  0.7814
   190   134   112  2.8794  0.7732
   186   140   111  2.8391  0.7594
   187   140   112  2.8074  0.7470
   189   134   112  2.7985  0.7439
   186   138   112  2.7254  0.7177
   186   139   112  2.7251  0.7176
   188   134   112  2.7015  0.7092
   186   137   112  2.6980  0.7080
   186   140   112  2.6978  0.7079
   186   136   112  2.6435  0.6889
   187   134   112  2.5890  0.6699
   186   135   112  2.5642  0.6614
   193   139   113  3.4987  1.0141
   193   138   113  3.4920  1.0113
   193   140   113  3.4904  1.0106
   193   137   113  3.4723  1.0031
   193   141   113  3.4639  0.9996
   192   141   113  3.4581  0.9972
   191   141   113  3.4424  0.9908
   193   136   113  3.4401  0.9898
   190   141   113  3.4144  0.9793
   193   135   113  3.3949  0.9713
   185   136   113  3.3911  0.9698
   185   135   113  3.3871  0.9682
   189   141   113  3.3710  0.9616
   188   133   113  3.3683  0.9606
   189   133   113  3.3680  0.9604
   185   137   113  3.3634  0.9586
   190   133   113  3.3536  0.9546
   187   133   113  3.3526  0.9542
   185   134   113  3.3478  0.9523
   193   134   113  3.3351  0.9472
   191   133   113  3.3283  0.9444
   193   139   111  3.3281  0.9467
   193   140   111  3.3206  0.9437
   186   133   113  3.3200  0.9411
   193   138   111  3.3181  0.9427
   188   141   113  3.3091  0.9367
