#   X     Y     Z      S       D
   361    52   130  2.6784  0.6866
   360    52   130  2.6720  0.6844
   360    51   130  2.6714  0.6842
   361    51   130  2.6696  0.6836
   361    53   130  2.6572  0.6793
   362    52   130  2.6540  0.6782
   360    53   130  2.6443  0.6749
   362    53   130  2.6409  0.6738
   362    51   130  2.6364  0.6723
   359    51   130  2.6465  0.6757
   360    50   130  2.6412  0.6739
   359    52   130  2.6402  0.6736
   361    50   130  2.6304  0.6702
   359    50   130  2.6249  0.6684
   361    54   130  2.6101  0.6633
   359    53   130  2.6077  0.6625
   362    54   130  2.6008  0.6602
   363    52   130  2.5954  0.6584
   360    54   130  2.5923  0.6573
   363    53   130  2.5915  0.6571
   362    50   130  2.5880  0.6559
   363    51   130  2.5685  0.6493
   363    54   130  2.5602  0.6466
   359    54   130  2.5532  0.6442
   363    50   130  2.5110  0.6302
   358    51   130  2.6003  0.6601
   358    52   130  2.5883  0.6560
   358    50   130  2.5866  0.6554
   360    49   130  2.5833  0.6543
   359    49   130  2.5762  0.6519
   361    49   130  2.5635  0.6477
   358    53   130  2.5529  0.6441
   358    49   130  2.5469  0.6421
   361    55   130  2.5435  0.6410
   362    55   130  2.5400  0.6398
   360    55   130  2.5225  0.6340
   362    49   130  2.5122  0.6306
   364    53   130  2.5079  0.6292
   363    55   130  2.5077  0.6291
   364    52   130  2.5019  0.6272
   357    51   130  2.5375  0.6390
   357    50   130  2.5306  0.6367
   357    52   130  2.5213  0.6336
   359    48   130  2.5035  0.6277
   360    48   130  2.5020  0.6272
