#   X     Y     Z      S       D
   346   121   145  3.0378  0.8008
   346   120   145  3.0234  0.7956
   346   122   145  3.0210  0.7947
   345   121   145  3.0145  0.7924
   345   122   145  3.0056  0.7892
   347   121   145  3.0022  0.7880
   347   120   145  2.9941  0.7851
   345   120   145  2.9926  0.7846
   347   122   145  2.9797  0.7799
   346   119   145  2.9773  0.7791
   346   123   145  2.9727  0.7774
   345   123   145  2.9652  0.7748
   347   119   145  2.9546  0.7710
   344   121   145  2.9485  0.7688
   344   122   145  2.9478  0.7686
   345   119   145  2.9398  0.7658
   347   123   145  2.9268  0.7612
   344   120   145  2.9196  0.7586
   344   123   145  2.9166  0.7576
   348   121   145  2.8929  0.7493
   348   120   145  2.8885  0.7477
   348   122   145  2.8686  0.7408
   344   119   145  2.8612  0.7382
   348   119   145  2.8540  0.7357
   348   123   145  2.8162  0.7226
   346   118   145  2.8986  0.7513
   346   124   145  2.8926  0.7492
   345   124   145  2.8926  0.7491
   347   118   145  2.8822  0.7455
   343   122   145  2.8605  0.7379
   345   118   145  2.8554  0.7362
   343   121   145  2.8541  0.7357
   344   124   145  2.8540  0.7357
   347   124   145  2.8437  0.7321
   343   123   145  2.8383  0.7302
   343   120   145  2.8200  0.7239
   348   118   145  2.7875  0.7127
   343   124   145  2.7861  0.7122
   344   118   145  2.7728  0.7076
   343   119   145  2.7581  0.7026
   348   124   145  2.7366  0.6953
   349   121   145  2.7015  0.6834
   349   120   145  2.6969  0.6819
   349   122   145  2.6805  0.6764
   343   118   145  2.6682  0.6722
   349   119   145  2.6650  0.6711
   349   123   145  2.6352  0.6612
   349   118   145  2.6033  0.6506
   349   124   145  2.5665  0.6385
   345   125   145  2.7879  0.7128
   346   117   145  2.7860  0.7122
   346   125   145  2.7816  0.7107
   347   117   145  2.7750  0.7084
   344   125   145  2.7589  0.7029
   342   122   145  2.7538  0.7011
   342   121   145  2.7423  0.6972
   342   123   145  2.7390  0.6961
   345   117   145  2.7387  0.6960
   347   125   145  2.7320  0.6937
   342   120   145  2.7054  0.6847
   343   125   145  2.7022  0.6836
   342   124   145  2.6962  0.6816
   348   117   145  2.6866  0.6784
   344   117   145  2.6541  0.6675
   342   119   145  2.6429  0.6638
   348   125   145  2.6313  0.6599
   342   125   145  2.6232  0.6572
   342   118   145  2.5545  0.6346
   343   117   145  2.5502  0.6331
   349   117   145  2.5091  0.6197
   345   126   145  2.6526  0.6670
   346   126   145  2.6421  0.6635
   346   116   145  2.6392  0.6625
   341   122   145  2.6350  0.6611
   347   116   145  2.6323  0.6602
   344   126   145  2.6321  0.6602
   341   123   145  2.6254  0.6579
   341   121   145  2.6210  0.6565
   347   126   145  2.5943  0.6476
   341   124   145  2.5901  0.6462
   345   116   145  2.5900  0.6462
   343   126   145  2.5860  0.6449
   341   120   145  2.5840  0.6442
   348   116   145  2.5501  0.6331
   341   125   145  2.5263  0.6253
   341   119   145  2.5238  0.6245
   342   126   145  2.5182  0.6227
   344   116   145  2.5060  0.6187
   348   126   145  2.5034  0.6179
   340   122   145  2.5098  0.6200
   340   123   145  2.5026  0.6176
