#   X     Y     Z      S       D
   138   447   213  2.6250  0.6424
   139   447   213  2.6169  0.6398
   138   446   213  2.6156  0.6394
   137   447   213  2.6155  0.6394
   138   448   213  2.6152  0.6393
   139   448   213  2.6091  0.6373
   139   446   213  2.6070  0.6366
   137   446   213  2.6059  0.6363
   137   448   213  2.6055  0.6361
   136   447   213  2.5931  0.6322
   138   449   213  2.5920  0.6318
   140   447   213  2.5894  0.6310
   139   449   213  2.5883  0.6306
   136   448   213  2.5847  0.6295
   140   448   213  2.5846  0.6294
   138   445   213  2.5828  0.6289
   136   446   213  2.5822  0.6287
   137   449   213  2.5821  0.6286
   140   446   213  2.5789  0.6276
   139   445   213  2.5756  0.6266
   137   445   213  2.5720  0.6254
   140   449   213  2.5680  0.6241
   136   449   213  2.5636  0.6227
   140   445   213  2.5498  0.6183
   136   445   213  2.5475  0.6176
   135   447   213  2.5644  0.6230
   138   450   213  2.5608  0.6218
   135   448   213  2.5593  0.6214
   139   450   213  2.5591  0.6213
   137   450   213  2.5516  0.6189
   135   446   213  2.5512  0.6188
   141   447   213  2.5444  0.6166
   140   450   213  2.5431  0.6162
   141   448   213  2.5424  0.6160
   135   449   213  2.5420  0.6159
   136   450   213  2.5362  0.6140
   141   446   213  2.5338  0.6133
   141   449   213  2.5304  0.6122
   138   444   213  2.5245  0.6103
   139   444   213  2.5207  0.6091
   135   450   213  2.5193  0.6087
   135   445   213  2.5153  0.6074
   137   444   213  2.5122  0.6064
   141   450   213  2.5108  0.6060
   141   445   213  2.5082  0.6052
   140   444   213  2.5003  0.6027
   134   447   213  2.5358  0.6139
   134   448   213  2.5348  0.6136
   138   451   213  2.5263  0.6109
   139   451   213  2.5253  0.6106
   134   449   213  2.5222  0.6096
   137   451   213  2.5194  0.6087
   134   446   213  2.5193  0.6087
   140   451   213  2.5125  0.6065
   136   451   213  2.5085  0.6053
   134   450   213  2.5044  0.6040
   133   448   213  2.5146  0.6072
   133   447   213  2.5112  0.6061
   133   449   213  2.5065  0.6046
