#   X     Y     Z      S       D
   448   320   271  2.6287  0.6962
   447   320   271  2.6263  0.6953
   448   321   271  2.6220  0.6938
   447   319   271  2.6161  0.6917
   447   321   271  2.6160  0.6917
   448   319   271  2.6147  0.6912
   449   320   271  2.5787  0.6785
   449   321   271  2.5731  0.6765
   449   319   271  2.5633  0.6731
   448   322   271  2.5929  0.6835
   447   318   271  2.5882  0.6818
   447   322   271  2.5835  0.6802
   448   318   271  2.5821  0.6797
   446   320   271  2.5785  0.6784
   446   319   271  2.5743  0.6769
   446   321   271  2.5632  0.6730
   446   318   271  2.5533  0.6695
   449   322   271  2.5456  0.6669
   449   318   271  2.5287  0.6610
   446   322   271  2.5265  0.6602
   447   317   271  2.5447  0.6666
   448   323   271  2.5414  0.6654
   448   317   271  2.5331  0.6625
   447   323   271  2.5285  0.6609
   446   317   271  2.5175  0.6571
