#   X     Y     Z      S       D
   249   467   258  2.5910  0.6656
   249   468   258  2.5887  0.6648
   248   467   258  2.5885  0.6647
   248   468   258  2.5881  0.6645
   249   466   258  2.5714  0.6589
   250   467   258  2.5703  0.6585
   248   466   258  2.5659  0.6570
   250   468   258  2.5658  0.6570
   250   466   258  2.5543  0.6530
   247   468   258  2.5621  0.6557
   249   469   258  2.5620  0.6557
   248   469   258  2.5614  0.6554
   247   467   258  2.5614  0.6554
   250   469   258  2.5392  0.6479
   247   466   258  2.5368  0.6471
   247   469   258  2.5356  0.6467
   249   465   258  2.5299  0.6448
   251   467   258  2.5277  0.6440
   248   465   258  2.5211  0.6418
   251   468   258  2.5210  0.6418
   250   465   258  2.5167  0.6403
   251   466   258  2.5151  0.6398
   246   468   258  2.5092  0.6378
   246   467   258  2.5078  0.6373
   249   470   258  2.5066  0.6369
   248   470   258  2.5038  0.6360
