# Peak  xc   yc   zc  bxc      byc      bzc       sc       dc         npx      vol      mass   min_xc max_xc min_yc max_yc min_zc max_zc
    1  232  301  243  229.496  303.915  242.759   6.1003   2.3893    10280   1613.3084  14.1053    198    255    283    339    236    249
    2  171  280  244  171.159  279.368  243.616   6.3473   2.5957     2686    421.9902  13.5407    160    181    269    289    238    249
    3  195  142  127  194.805  141.629  126.676   5.7954   2.2079     4854    644.3875  13.6904    172    218    129    155    122    132
    4  134  239  253  134.324  239.521  253.207   5.9499   2.3222     1546    246.4224  13.2833    127    144    232    248    249    258
    5  267  245  232  267.143  247.447  232.288   5.8040   2.1314     3362    519.3287  13.5897    250    283    233    266    227    237
    6  339  181  119  339.088  180.435  118.495   5.7449   2.1997     2340    307.0195  13.3677    329    353    169    190    113    122
    7  412  117  261  411.272  116.659  260.816   5.6471   2.1516     1510    243.4680  13.2626    399    420    109    124    255    264
    8  287  199  223  286.924  199.044  223.141   5.7474   2.0673      762    116.1226  12.9332    278    293    190    207    221    225
    9  273  169  224  272.579  168.708  223.739   5.6616   2.0142      828    126.2929  12.9646    267    278    162    175    220    227
   10  233  286  279  233.007  285.537  279.414   5.7059   2.3094      766    127.0708  12.9945    226    239    279    293    277    282
   11  251  147  253  250.965  146.664  252.662   5.5055   2.0150      349     55.5908  12.6083    246    256    141    152    251    256
   12  324  283  330  323.904  283.197  330.638   5.4271   2.5197      764    137.3936  13.0468    316    329    276    294    327    336
   13  135  290  171  134.833  289.542  170.669   5.4577   1.8786      832    117.4531  12.9200    129    141    284    295    166    175
   14  174  282  260  174.246  281.493  259.935   5.4278   1.9977      858    138.2056  13.0022    168    181    268    291    258    262
   15  208   70  283  208.379   70.184  283.407   5.4495   2.1513      351     58.6155  12.6441    204    213     65     75    281    287
   16  240  240  160  239.470  240.032  159.702   5.3902   1.8593      130     18.0669  12.1051    235    244    234    246    158    160
   17  172   94  277  171.993   94.015  276.562   5.4487   2.1043      178     29.4081  12.3402    166    177     89     99    276    277
   18  376  204  219  376.205  204.504  219.758   5.3411   1.8137      412     62.4742  12.6394    371    381    199    210    217    223
   19  282  323  237  282.262  323.379  237.090   5.3141   1.8383      196     30.4942  12.3304    279    285    320    327    234    240
   20   86  304  154   85.516  304.096  153.983   5.2673   1.7973       55      7.5841  11.7220     82     89    300    308    153    154
   21   83  317  173   83.006  317.247  172.498   5.1883   1.7236       79     11.1860  11.8833     80     86    314    321    171    174
   22  149  366  318  149.351  365.496  317.666   5.1886   2.2163       75     13.2156  12.0031    146    152    362    368    317    319
   23  302  225  154  302.420  225.051  154.320   5.1710   1.7427       61      8.4188  11.7619    299    306    222    228    154    155
   24  346  202  149  345.822  201.704  149.000   5.2188   1.7800       47      6.4295  11.6485    343    349    198    205    149    149
   25  196  169  127  195.926  168.784  126.921   5.2024   1.8253       48      6.3695  11.6490    192    199    166    172    126    127
   26  250  324  238  250.412  323.996  238.000   5.1861   1.7674       53      8.2704  11.7566    246    255    321    327    238    238
   27  197  169  123  196.975  168.546  123.458   5.1645   1.8126       74      9.7862  11.8342    194    200    165    172    123    124
   28  209  292  233  208.719  292.052  233.000   5.1563   1.7374       50      7.7405  11.7248    205    212    288    296    233    233
   29  191  232  234  191.002  232.417  234.000   5.1494   1.7361       40      6.1995  11.6283    188    194    229    236    234    234
   30   85  304  159   85.043  303.699  159.000   5.1568   1.7259       26      3.6138  11.3929     83     87    301    306    159    159
   31  226  238  229  225.561  238.358  229.000   5.1540   1.7268       53      8.1581  11.7466    221    230    235    242    229    229
   32  272  228  283  272.456  228.293  283.000   5.1582   1.9515       31      5.1776  11.5714    270    275    226    231    283    283
   33  351  200  147  351.210  200.444  146.732   5.1317   1.7364       84     11.4786  11.8959    348    354    196    204    146    148
   34  140  303  241  140.069  303.466  241.000   5.1272   1.7433       47      7.3590  11.7035    137    143    300    307    241    241
   35  343  289  240  343.496  289.172  240.000   5.1257   1.7393       24      3.7493  11.4102    341    346    287    291    240    240
   36  286  123  250  285.515  122.589  250.000   5.1204   1.7692       39      6.1885  11.6309    283    288    119    126    250    250
   37  290  231  223  290.139  231.477  222.954   5.0963   1.6839       82     12.4913  11.9272    286    294    229    234    221    225
   38  145  281  240  145.158  280.818  239.507   5.0900   1.7183       55      8.5874  11.7680    142    149    278    284    239    240
   39  321  124  279  320.664  123.794  279.356   5.0887   1.8867       39      6.4733  11.6621    318    323    122    126    279    280
   40  388  371  215  388.503  371.497  215.000   5.1015   1.6748       18      2.7068  11.2621    386    391    370    373    215    215
   41  344   80  266  343.719   79.614  266.000   5.0944   1.8212       18      2.9285  11.3111    341    346     78     81    266    266
   42   85  303  156   84.956  303.386  156.000   5.0970   1.6989       21      2.9035  11.2951     83     87    301    306    156    156
   43  192  234  231  192.432  234.382  231.000   5.0709   1.6862       21      3.2325  11.3404    191    194    232    237    231    231
   44  149  366  315  149.002  365.996  315.000   5.0636   2.1040        9      1.5784  11.0699    148    150    365    367    315    315
   45  351  201  141  351.502  201.001  141.000   5.0615   1.7105       16      2.1680  11.1694    350    353    199    203    141    141
   46  155  214  303  154.849  214.461  303.000   5.0570   2.0144       13      2.2380  11.2131    153    156    213    216    303    303
   47  312   90  123  312.333   90.111  123.000   5.0613   1.7545        9      1.1895  10.9131    311    314     89     91    123    123
   48  203  203  133  203.331  202.666  133.000   5.0506   1.7233       12      1.6061  11.0404    202    205    201    204    133    133
   49   86  286  154   85.667  286.114  154.000   5.0447   1.6744        9      1.2411  10.9234     84     87    285    287    154    154
   50  414  114  238  414.499  114.501  238.000   5.0249   1.6787       14      2.1846  11.1695    413    416    113    116    238    238
   51   84  286  156   84.501  286.501  156.000   5.0307   1.6633        4      0.5531  10.5713     84     85    286    287    156    156
