#   X     Y     Z      S       D
   414   115   238  5.0522  1.6934
   414   114   238  5.0454  1.6898
   415   114   238  5.0439  1.6890
   415   115   238  5.0419  1.6879
   414   116   238  5.0308  1.6819
   413   115   238  5.0287  1.6808
   413   114   238  5.0163  1.6741
   415   116   238  5.0149  1.6734
   413   116   238  5.0101  1.6708
   414   116   237  4.8019  1.5593
   413   116   237  4.8003  1.5585
   413   115   237  4.7966  1.5566
   414   115   237  4.7912  1.5539
   413   114   237  4.7692  1.5427
   415   116   237  4.7647  1.5404
   414   114   237  4.7590  1.5375
   415   115   237  4.7507  1.5333
   415   114   237  4.7176  1.5165
   415   113   238  5.0219  1.6771
   416   114   238  5.0175  1.6747
   414   113   238  5.0121  1.6718
   416   113   238  5.0086  1.6700
   416   115   238  5.0046  1.6678
   414   117   238  4.9798  1.6546
   413   113   238  4.9748  1.6520
   416   116   238  4.9698  1.6493
   412   115   238  4.9652  1.6469
   415   117   238  4.9616  1.6450
   413   117   238  4.9591  1.6437
   412   114   238  4.9513  1.6395
   412   116   238  4.9459  1.6367
   416   117   238  4.9120  1.6189
   412   113   238  4.9061  1.6158
   412   117   238  4.8924  1.6086
   414   117   237  4.7886  1.5525
   413   117   237  4.7795  1.5479
   412   115   237  4.7591  1.5375
   415   117   237  4.7558  1.5359
   412   116   237  4.7529  1.5344
   412   114   237  4.7400  1.5279
   412   117   237  4.7226  1.5191
   413   113   237  4.7186  1.5170
   414   113   237  4.7070  1.5112
   416   116   237  4.6983  1.5069
   412   113   237  4.6945  1.5050
   416   117   237  4.6899  1.5026
   416   115   237  4.6851  1.5003
   415   113   237  4.6682  1.4918
   416   114   237  4.6551  1.4853
   416   113   237  4.6116  1.4637
   415   115   236  4.6036  1.4577
   414   115   236  4.6009  1.4563
   415   116   236  4.5959  1.4539
   414   116   236  4.5894  1.4507
   415   114   236  4.5838  1.4479
   414   114   236  4.5824  1.4473
   416   115   236  4.5706  1.4415
   416   116   236  4.5640  1.4383
   415   117   236  4.5601  1.4364
   413   115   236  4.5556  1.4342
   416   114   236  4.5525  1.4327
   414   117   236  4.5481  1.4305
   413   114   236  4.5417  1.4275
   413   116   236  4.5381  1.4257
   415   113   236  4.5360  1.4247
   414   113   236  4.5332  1.4233
   416   117   236  4.5316  1.4225
   416   113   236  4.5094  1.4118
   416   112   238  4.9770  1.6532
   417   113   238  4.9770  1.6531
   415   112   238  4.9759  1.6526
   417   114   238  4.9719  1.6505
   417   112   238  4.9600  1.6442
   414   112   238  4.9533  1.6406
   417   115   238  4.9470  1.6372
   413   112   238  4.9062  1.6158
   417   116   238  4.9027  1.6140
   414   118   238  4.8979  1.6115
   415   118   238  4.8805  1.6024
   413   118   238  4.8747  1.5994
   411   115   238  4.8563  1.5898
   411   114   238  4.8458  1.5844
   417   117   238  4.8385  1.5806
   411   116   238  4.8324  1.5774
   412   112   238  4.8321  1.5773
   416   118   238  4.8298  1.5761
   412   118   238  4.8041  1.5629
   411   113   238  4.8025  1.5621
   411   117   238  4.7737  1.5473
   417   118   238  4.7527  1.5366
   414   118   237  4.7486  1.5322
   413   118   237  4.7333  1.5245
   411   112   238  4.7287  1.5245
   415   118   237  4.7201  1.5178
   411   118   238  4.6805  1.5003
   411   115   237  4.6743  1.4949
   412   118   237  4.6690  1.4922
   411   114   237  4.6664  1.4909
   411   116   237  4.6562  1.4858
   416   118   237  4.6550  1.4852
   413   112   237  4.6447  1.4801
   413   115   235  4.6421  1.4745
   414   112   237  4.6361  1.4758
   413   114   235  4.6343  1.4707
   414   115   235  4.6313  1.4692
   411   113   237  4.6294  1.4725
   414   114   235  4.6236  1.4654
   412   112   237  4.6215  1.4687
   411   117   237  4.6152  1.4655
   413   116   235  4.6135  1.4604
   417   116   237  4.6128  1.4643
   412   115   235  4.6126  1.4600
   412   114   235  4.6082  1.4578
   417   115   237  4.6048  1.4604
   414   116   235  4.6042  1.4559
   415   112   237  4.6035  1.4597
   417   117   237  4.6003  1.4582
   413   113   235  4.5921  1.4499
   415   115   235  4.5856  1.4467
   414   113   235  4.5838  1.4459
   415   114   235  4.5817  1.4449
   417   114   237  4.5814  1.4489
   412   116   235  4.5799  1.4440
   412   113   235  4.5679  1.4381
   417   118   237  4.5622  1.4395
   411   112   237  4.5607  1.4388
   415   116   235  4.5573  1.4330
   416   112   237  4.5558  1.4364
   411   118   237  4.5542  1.4356
   415   113   235  4.5488  1.4288
   413   117   235  4.5485  1.4287
   417   113   237  4.5465  1.4319
   414   117   235  4.5417  1.4254
   413   112   235  4.5195  1.4147
   416   114   235  4.5174  1.4137
   414   112   235  4.5161  1.4131
   416   115   235  4.5139  1.4120
   412   117   235  4.5109  1.4105
   417   115   236  4.5095  1.4119
   417   112   237  4.5013  1.4100
   417   116   236  4.5011  1.4078
   418   113   238  4.9315  1.6291
   418   112   238  4.9285  1.6275
   416   111   238  4.9205  1.6233
   417   111   238  4.9178  1.6219
   418   114   238  4.9128  1.6192
   415   111   238  4.9054  1.6154
   418   111   238  4.8997  1.6124
   418   115   238  4.8753  1.5997
   414   111   238  4.8700  1.5969
   413   115   234  4.8540  1.5791
   414   115   234  4.8476  1.5759
   413   114   234  4.8408  1.5724
   413   116   234  4.8360  1.5699
   414   116   234  4.8350  1.5694
   414   114   234  4.8323  1.5680
   418   116   238  4.8203  1.5712
   413   111   238  4.8128  1.5673
   412   115   234  4.7986  1.5508
   413   113   234  4.7978  1.5504
   414   117   234  4.7933  1.5481
   412   114   234  4.7919  1.5474
   414   113   234  4.7905  1.5467
   415   115   234  4.7879  1.5453
   413   117   234  4.7864  1.5446
   414   119   238  4.7847  1.5529
   415   116   234  4.7779  1.5403
   415   114   234  4.7743  1.5385
   412   116   234  4.7729  1.5377
   415   119   238  4.7706  1.5458
   413   119   238  4.7571  1.5389
   412   113   234  4.7533  1.5279
   418   117   238  4.7475  1.5340
   415   117   234  4.7430  1.5227
   415   113   234  4.7386  1.5205
   412   111   238  4.7324  1.5264
   413   112   234  4.7267  1.5145
   414   112   234  4.7236  1.5129
   414   118   234  4.7221  1.5122
   416   119   238  4.7214  1.5208
   412   117   234  4.7152  1.5087
   413   118   234  4.7061  1.5042
   410   115   238  4.6986  1.5093
   410   114   238  4.6969  1.5084
   416   115   234  4.6881  1.4952
   412   112   234  4.6845  1.4934
   411   114   234  4.6837  1.4930
   412   119   238  4.6818  1.5009
   415   118   234  4.6814  1.4919
   415   112   234  4.6812  1.4918
   411   115   234  4.6801  1.4912
   414   119   237  4.6800  1.4977
   416   114   234  4.6797  1.4910
   416   116   234  4.6781  1.4903
   410   116   238  4.6663  1.4931
   410   113   238  4.6615  1.4907
   413   119   237  4.6608  1.4881
   418   118   238  4.6556  1.4878
   411   113   234  4.6552  1.4789
   415   119   237  4.6542  1.4848
   416   113   234  4.6536  1.4781
   416   117   234  4.6480  1.4753
   411   116   234  4.6449  1.4738
   417   119   238  4.6434  1.4817
   414   111   234  4.6323  1.4676
   413   111   234  4.6290  1.4660
   411   111   238  4.6279  1.4740
   412   118   234  4.6277  1.4653
   416   112   234  4.6093  1.4563
   415   111   234  4.6017  1.4526
   410   117   238  4.6004  1.4605
   411   112   234  4.5953  1.4494
   410   112   238  4.5942  1.4574
   412   119   237  4.5927  1.4545
   416   119   237  4.5897  1.4530
   412   111   234  4.5872  1.4455
   411   117   234  4.5796  1.4418
   417   115   234  4.5645  1.4345
   417   114   234  4.5637  1.4341
   411   119   238  4.5542  1.4378
   417   116   234  4.5517  1.4283
   417   113   234  4.5494  1.4271
   410   114   237  4.5471  1.4322
   413   111   237  4.5469  1.4321
   414   111   237  4.5452  1.4312
   418   119   238  4.5426  1.4322
   411   114   235  4.5425  1.4258
   410   115   237  4.5421  1.4297
   411   115   235  4.5406  1.4249
   415   111   237  4.5223  1.4202
   410   113   237  4.5209  1.4195
   412   111   237  4.5200  1.4190
   418   115   237  4.5181  1.4181
   418   116   237  4.5169  1.4175
   410   116   237  4.5110  1.4147
