#   X     Y     Z      S       D
   285   123   250  5.2306  1.8316
   286   123   250  5.2264  1.8292
   286   122   250  5.2238  1.8277
   285   122   250  5.2177  1.8242
   285   124   250  5.2064  1.8177
   286   124   250  5.1939  1.8106
   284   123   250  5.1930  1.8101
   284   124   250  5.1754  1.8000
   284   122   250  5.1718  1.7980
   287   122   250  5.1897  1.8082
   286   121   250  5.1889  1.8077
   287   123   250  5.1813  1.8034
   285   121   250  5.1715  1.7978
   287   121   250  5.1666  1.7951
   285   125   250  5.1421  1.7812
   287   124   250  5.1395  1.7797
   286   125   250  5.1235  1.7707
   284   121   250  5.1161  1.7665
   284   125   250  5.1153  1.7661
   283   123   250  5.1118  1.7641
   283   124   250  5.0983  1.7565
   283   122   250  5.0848  1.7490
   287   125   250  5.0623  1.7365
   283   125   250  5.0402  1.7242
   283   121   250  5.0224  1.7144
   286   120   250  5.1242  1.7711
   288   122   250  5.1140  1.7653
   287   120   250  5.1137  1.7652
   288   121   250  5.1021  1.7587
   285   120   250  5.0956  1.7550
   288   123   250  5.0954  1.7549
   288   120   250  5.0603  1.7353
   288   124   250  5.0450  1.7269
   285   126   250  5.0353  1.7215
   284   120   250  5.0308  1.7190
   286   126   250  5.0136  1.7095
   284   126   250  5.0102  1.7077
   282   123   250  4.9838  1.6932
   282   124   250  4.9718  1.6866
   288   125   250  4.9616  1.6811
   282   122   250  4.9539  1.6769
   287   126   250  4.9485  1.6739
   283   126   250  4.9354  1.6668
   283   120   250  4.9302  1.6640
   282   125   250  4.9140  1.6553
   282   121   250  4.8878  1.6412
   288   126   250  4.8445  1.6180
   282   126   250  4.8084  1.5989
   282   120   250  4.7920  1.5903
   286   119   250  5.0320  1.7197
   287   119   250  5.0318  1.7196
   289   122   250  4.9964  1.7001
   285   119   250  4.9936  1.6986
   289   121   250  4.9936  1.6985
   288   119   250  4.9883  1.6957
   289   123   250  4.9696  1.6855
   289   120   250  4.9611  1.6808
   284   119   250  4.9205  1.6588
   289   124   250  4.9129  1.6547
   289   119   250  4.8977  1.6465
   285   127   250  4.8859  1.6402
   286   127   250  4.8644  1.6286
   284   127   250  4.8598  1.6262
   289   125   250  4.8253  1.6079
   283   119   250  4.8139  1.6019
   281   123   250  4.8055  1.5974
   287   127   250  4.7991  1.5940
   281   124   250  4.7930  1.5908
   283   127   250  4.7835  1.5858
   281   122   250  4.7755  1.5816
   281   125   250  4.7343  1.5601
   281   121   250  4.7089  1.5470
   289   126   250  4.7069  1.5459
   288   127   250  4.6955  1.5400
   282   119   250  4.6727  1.5283
   282   127   250  4.6555  1.5195
   281   126   250  4.6279  1.5054
   281   120   250  4.6129  1.4978
   289   127   250  4.5603  1.4712
   287   118   250  4.9214  1.6593
   286   118   250  4.9137  1.6551
   288   118   250  4.8856  1.6400
   285   118   250  4.8679  1.6305
   290   121   250  4.8423  1.6169
   290   122   250  4.8390  1.6151
   290   120   250  4.8164  1.6032
   290   123   250  4.8073  1.5983
   289   118   250  4.8020  1.5955
   284   118   250  4.7886  1.5885
   290   119   250  4.7595  1.5733
   290   124   250  4.7473  1.5669
   285   128   250  4.6969  1.5407
   286   128   250  4.6793  1.5317
   283   118   250  4.6776  1.5308
   290   118   250  4.6696  1.5267
   284   128   250  4.6670  1.5254
   290   125   250  4.6588  1.5212
   287   128   250  4.6181  1.5004
   283   128   250  4.5879  1.4851
   280   123   250  4.5746  1.4784
   280   124   250  4.5602  1.4712
   280   122   250  4.5470  1.4645
   290   126   250  4.5423  1.4622
   282   118   250  4.5346  1.4583
   288   128   250  4.5194  1.4508
   280   125   250  4.5002  1.4412
   287   117   250  4.7822  1.5851
   286   117   250  4.7697  1.5786
   288   117   250  4.7513  1.5690
   285   117   250  4.7195  1.5524
   289   117   250  4.6728  1.5283
   291   121   250  4.6534  1.5184
   291   122   250  4.6474  1.5153
   284   117   250  4.6365  1.5098
   291   120   250  4.6310  1.5070
   291   123   250  4.6144  1.4985
   291   119   250  4.5781  1.4802
   291   124   250  4.5548  1.4685
   290   117   250  4.5454  1.4637
   283   117   250  4.5232  1.4526
   287   116   250  4.6137  1.4982
   286   116   250  4.5995  1.4910
   288   116   250  4.5853  1.4838
   285   116   250  4.5480  1.4650
   289   116   250  4.5101  1.4462
