#   X     Y     Z      S       D
   171   278   213  3.7394  1.0446
   171   277   213  3.7365  1.0435
   170   277   213  3.7341  1.0425
   170   278   213  3.7246  1.0387
   172   278   213  3.7182  1.0361
   171   279   213  3.7117  1.0335
   172   277   213  3.7021  1.0297
   172   279   213  3.7004  1.0290
   170   279   213  3.6882  1.0241
   170   276   213  3.7185  1.0363
   171   276   213  3.7059  1.0312
   169   277   213  3.6998  1.0288
   169   276   213  3.6980  1.0281
   169   278   213  3.6792  1.0206
   173   278   213  3.6582  1.0122
   172   276   213  3.6563  1.0115
   171   280   213  3.6519  1.0098
   173   279   213  3.6510  1.0094
   172   280   213  3.6467  1.0077
   169   279   213  3.6350  1.0031
   173   277   213  3.6290  1.0008
   170   280   213  3.6235  0.9986
   173   280   213  3.6044  0.9911
   173   276   213  3.5691  0.9773
   169   280   213  3.5661  0.9762
   170   275   213  3.6809  1.0212
   169   275   213  3.6757  1.0192
   171   275   213  3.6520  1.0098
   168   276   213  3.6499  1.0090
   168   275   213  3.6406  1.0053
   168   277   213  3.6397  1.0050
   168   278   213  3.6094  0.9931
   172   275   213  3.5868  0.9842
   174   279   213  3.5627  0.9749
   171   281   213  3.5599  0.9737
   174   278   213  3.5595  0.9736
   168   279   213  3.5583  0.9731
   172   281   213  3.5567  0.9725
   170   281   213  3.5302  0.9623
   174   280   213  3.5239  0.9598
   174   277   213  3.5184  0.9577
   173   281   213  3.5177  0.9575
   169   274   213  3.6352  1.0032
   170   274   213  3.6253  0.9993
   168   274   213  3.6128  0.9944
   171   274   213  3.5809  0.9819
   167   275   213  3.5803  0.9817
   167   276   213  3.5796  0.9814
   167   274   213  3.5616  0.9744
   167   277   213  3.5600  0.9738
   167   278   213  3.5215  0.9589
   172   274   213  3.5015  0.9512
   169   273   213  3.5794  0.9813
   168   273   213  3.5675  0.9767
   170   273   213  3.5569  0.9726
   167   273   213  3.5233  0.9596
   169   272   213  3.5114  0.9550
   168   272   213  3.5061  0.9530
