#   X     Y     Z      S       D
   130   447   301  3.6801  1.2091
   130   448   301  3.6736  1.2059
   129   448   301  3.6717  1.2049
   129   447   301  3.6687  1.2034
   131   447   301  3.6585  1.1985
   130   446   301  3.6518  1.1952
   131   448   301  3.6421  1.1905
   131   446   301  3.6391  1.1890
   129   446   301  3.6331  1.1861
   129   449   301  3.6461  1.1924
   130   449   301  3.6373  1.1881
   128   448   301  3.6351  1.1870
   128   447   301  3.6240  1.1817
   128   449   301  3.6196  1.1795
   132   447   301  3.6070  1.1734
   132   446   301  3.5971  1.1687
   131   449   301  3.5955  1.1679
   130   445   301  3.5876  1.1641
   128   446   301  3.5833  1.1620
   131   445   301  3.5817  1.1613
   132   448   301  3.5810  1.1609
   129   445   301  3.5645  1.1530
   132   445   301  3.5487  1.1454
   132   449   301  3.5253  1.1343
   128   445   301  3.5129  1.1284
   129   450   301  3.5980  1.1691
   128   450   301  3.5823  1.1615
   130   450   301  3.5784  1.1597
   127   448   301  3.5655  1.1534
   127   449   301  3.5583  1.1500
   127   447   301  3.5485  1.1453
   133   447   301  3.5311  1.1370
   133   446   301  3.5309  1.1370
   127   450   301  3.5305  1.1368
   131   450   301  3.5268  1.1350
   127   446   301  3.5052  1.1248
   129   451   301  3.5333  1.1381
   128   451   301  3.5275  1.1353
   130   451   301  3.5041  1.1243
