#   X     Y     Z      S       D
   235   244   113  3.7591  1.1253
   235   243   113  3.7582  1.1249
   234   243   113  3.7548  1.1234
   236   244   113  3.7512  1.1218
   234   244   113  3.7501  1.1214
   235   245   113  3.7497  1.1212
   236   245   113  3.7477  1.1203
   236   243   113  3.7453  1.1192
   234   245   113  3.7345  1.1145
   235   244   112  3.6252  1.0687
   236   244   112  3.6252  1.0687
   235   243   112  3.6192  1.0662
   236   243   112  3.6153  1.0645
   236   245   112  3.6149  1.0643
   234   244   112  3.6132  1.0636
   234   243   112  3.6130  1.0635
   235   245   112  3.6122  1.0632
   234   245   112  3.5958  1.0562
   234   242   113  3.7464  1.1197
   235   242   113  3.7449  1.1190
   236   246   113  3.7360  1.1152
   233   243   113  3.7345  1.1145
   233   242   113  3.7322  1.1135
   235   246   113  3.7315  1.1132
   237   245   113  3.7297  1.1124
   236   242   113  3.7280  1.1117
   237   244   113  3.7278  1.1116
   237   246   113  3.7243  1.1101
   233   244   113  3.7235  1.1097
   237   243   113  3.7173  1.1070
   234   246   113  3.7098  1.1038
   233   245   113  3.7013  1.1001
   237   242   113  3.6966  1.0980
   233   246   113  3.6700  1.0865
   237   244   112  3.6116  1.0629
   237   245   112  3.6030  1.0593
   237   243   112  3.5997  1.0578
   234   242   112  3.5974  1.0569
   233   243   112  3.5970  1.0567
   235   242   112  3.5968  1.0566
   233   242   112  3.5903  1.0539
   233   244   112  3.5895  1.0535
   236   242   112  3.5883  1.0530
   236   246   112  3.5840  1.0512
   235   246   112  3.5794  1.0493
   237   246   112  3.5737  1.0468
   237   242   112  3.5702  1.0453
   233   245   112  3.5659  1.0436
   234   246   112  3.5603  1.0412
   233   246   112  3.5263  1.0269
   233   242   114  3.5181  1.0208
   234   241   113  3.7231  1.1096
   235   241   113  3.7173  1.1070
   236   247   113  3.7169  1.1069
   233   241   113  3.7148  1.1060
   237   247   113  3.7122  1.1048
   235   247   113  3.7057  1.1020
   232   242   113  3.7027  1.1007
   238   246   113  3.6979  1.0986
   232   243   113  3.6977  1.0985
   236   241   113  3.6974  1.0984
   238   245   113  3.6973  1.0983
   232   241   113  3.6928  1.0964
   238   247   113  3.6925  1.0963
   238   244   113  3.6903  1.0953
   232   244   113  3.6795  1.0906
   234   247   113  3.6776  1.0898
   238   243   113  3.6758  1.0890
   237   241   113  3.6637  1.0838
   238   242   113  3.6520  1.0788
   232   245   113  3.6501  1.0780
   233   247   113  3.6317  1.0701
   238   241   113  3.6172  1.0639
   232   246   113  3.6121  1.0618
   238   244   112  3.5824  1.0505
   238   245   112  3.5752  1.0475
   232   242   112  3.5743  1.0471
   232   241   114  3.5731  1.0439
   233   241   112  3.5722  1.0462
   232   243   112  3.5707  1.0456
   234   241   112  3.5701  1.0453
   238   243   112  3.5697  1.0451
   232   247   113  3.5679  1.0430
   232   241   112  3.5667  1.0439
   235   241   112  3.5622  1.0419
   232   242   114  3.5551  1.0363
   232   244   112  3.5538  1.0384
   236   241   112  3.5485  1.0362
   238   246   112  3.5480  1.0360
   238   242   112  3.5396  1.0324
   236   247   112  3.5343  1.0302
   235   247   112  3.5288  1.0279
   237   241   112  3.5276  1.0274
   233   241   114  3.5273  1.0247
   237   247   112  3.5257  1.0266
   232   245   112  3.5224  1.0253
   232   243   114  3.5151  1.0196
   234   247   112  3.5083  1.0194
   238   247   112  3.5032  1.0172
   237   248   113  3.6931  1.0965
   236   248   113  3.6910  1.0956
   234   240   113  3.6841  1.0926
   233   240   113  3.6816  1.0916
   238   248   113  3.6806  1.0911
   235   240   113  3.6744  1.0885
   235   248   113  3.6733  1.0880
   232   240   113  3.6673  1.0854
   239   247   113  3.6587  1.0817
   231   242   113  3.6584  1.0816
   239   246   113  3.6579  1.0813
   231   241   113  3.6574  1.0811
   239   248   113  3.6537  1.0796
   236   240   113  3.6522  1.0789
   239   245   113  3.6518  1.0787
   231   243   113  3.6450  1.0758
   231   240   113  3.6412  1.0742
   239   244   113  3.6402  1.0737
   234   248   113  3.6393  1.0734
   239   243   113  3.6219  1.0659
   231   244   113  3.6187  1.0646
   237   240   113  3.6173  1.0640
   231   240   114  3.5959  1.0535
   239   242   113  3.5952  1.0546
   231   241   114  3.5952  1.0532
   233   248   113  3.5882  1.0516
   231   245   113  3.5818  1.0489
   238   240   113  3.5698  1.0438
   231   242   114  3.5678  1.0417
   232   240   114  3.5650  1.0405
   239   241   113  3.5582  1.0389
   231   241   112  3.5506  1.0371
   232   240   112  3.5506  1.0371
   231   242   112  3.5472  1.0357
   233   240   112  3.5460  1.0351
   231   240   112  3.5448  1.0346
   231   246   113  3.5371  1.0301
   239   244   112  3.5357  1.0308
   234   240   112  3.5348  1.0305
   231   243   112  3.5326  1.0295
   239   245   112  3.5301  1.0285
   239   243   112  3.5228  1.0254
   232   248   113  3.5198  1.0228
   235   240   112  3.5196  1.0241
   231   243   114  3.5186  1.0210
   233   240   114  3.5117  1.0181
   239   240   113  3.5098  1.0187
   239   246   112  3.5063  1.0185
   231   244   112  3.5054  1.0181
   236   240   112  3.5009  1.0163
   237   249   113  3.6669  1.0852
   238   249   113  3.6612  1.0828
   236   249   113  3.6583  1.0815
   239   249   113  3.6417  1.0744
   235   249   113  3.6350  1.0715
